complaint_id,customer_id,branch_id,complaint_date,complaint_type,severity,complaint_status,resolved_date,service_cost
CP000001,C00519,B025,2024-01-11,App/Login,High,Closed,2024-01-20,478.12
CP000002,C00202,B015,2025-10-08,Account Service,Critical,Closed,2025-10-18,429.74
CP000003,C00377,B009,2025-03-03,Account Service,Low,Closed,2025-03-06,623.42
CP000004,C00388,B019,2025-04-18,Unauthorized Transaction,Low,Closed,2025-04-24,395.83
CP000005,C00049,B018,2025-08-11,Card Issue,Low,Closed,2025-08-16,178.49
CP000006,C00183,B003,2025-08-15,Account Service,High,Closed,2025-08-16,314.0
CP000007,C00958,B016,2025-04-27,Loan Service,Medium,Closed,2025-04-28,445.29
CP000008,C00856,B021,2024-12-28,App/Login,Medium,Closed,2025-01-04,685.8
CP000009,C00383,B020,2024-01-27,Charges/Fees,Medium,Closed,2024-01-30,393.33
CP000010,C00256,B006,2024-03-08,Card Issue,Low,Closed,2024-03-12,195.78
CP000011,C00087,B021,2025-05-10,Account Service,Low,Closed,2025-05-11,580.76
CP000012,C00247,B013,2026-04-24,Charges/Fees,Medium,Closed,2026-05-03,328.11
CP000013,C00451,B016,2024-12-30,Account Service,High,Closed,2025-01-04,129.38
CP000014,C00302,B022,2026-05-01,App/Login,Low,Closed,2026-05-13,348.0
CP000015,C00065,B005,2026-03-20,Account Service,Low,Closed,2026-03-21,409.1
CP000016,C00013,B007,2024-06-20,Card Issue,Medium,Closed,2024-06-29,113.33
CP000017,C00804,B001,2025-01-16,Loan Service,Low,Closed,2025-01-20,635.01
CP000018,C00812,B022,2024-12-13,Charges/Fees,Medium,Closed,2024-12-13,425.4
CP000019,C00216,B005,2024-06-16,Loan Service,Medium,Closed,2024-06-23,415.91
CP000020,C00965,B002,2026-01-19,ATM,Low,Closed,2026-01-19,584.2
CP000021,C00320,B019,2024-12-12,ATM,Medium,Open,,378.28
CP000022,C00271,B010,2025-09-13,Account Service,Medium,Closed,2025-09-19,529.69
CP000023,C00149,B015,2026-05-20,Card Issue,High,Open,,394.77
CP000024,C00299,B014,2026-05-21,Unauthorized Transaction,Medium,Closed,2026-05-23,275.59
CP000025,C00883,B011,2024-01-02,Loan Service,Low,Open,,362.71
CP000026,C00780,B013,2025-05-31,Card Issue,Medium,Closed,2025-06-07,529.06
CP000027,C00645,B003,2026-05-01,Unauthorized Transaction,Medium,Closed,2026-05-02,444.6
CP000028,C00199,B020,2024-11-21,ATM,High,Closed,2024-12-14,627.85
CP000029,C00205,B023,2026-04-02,Unauthorized Transaction,Medium,Closed,2026-04-09,98.0
CP000030,C00147,B022,2025-03-20,Account Service,Medium,Closed,2025-03-21,299.45
CP000031,C00420,B011,2024-02-23,App/Login,High,Open,,81.49
CP000032,C00210,B016,2024-11-18,Account Service,Low,Closed,2024-11-20,484.16
CP000033,C00260,B015,2024-02-19,Loan Service,Low,Closed,2024-02-25,625.71
CP000034,C00287,B009,2024-02-09,ATM,High,Closed,2024-02-28,489.67
CP000035,C00758,B012,2026-05-18,Card Issue,Low,Closed,2026-05-27,390.01
CP000036,C00882,B025,2025-10-03,Account Service,Medium,Open,,574.51
CP000037,C00547,B002,2024-01-24,Card Issue,High,Closed,2024-02-10,254.23
CP000038,C00876,B003,2024-12-06,Charges/Fees,Medium,Closed,2024-12-06,138.1
CP000039,C00023,B008,2025-02-02,Account Service,Low,Closed,2025-02-06,686.12
CP000040,C00693,B008,2025-04-21,App/Login,Low,Closed,2025-05-01,104.94
CP000041,C00659,B005,2024-07-25,App/Login,Medium,Closed,2024-07-29,186.18
CP000042,C00404,B019,2025-05-24,Charges/Fees,Critical,Closed,2025-05-31,584.08
CP000043,C00446,B017,2025-12-10,Unauthorized Transaction,Low,Closed,2025-12-20,191.53
CP000044,C00248,B018,2025-04-26,Account Service,Low,Closed,2025-05-02,381.55
CP000045,C00483,B005,2026-07-16,Loan Service,Low,Closed,2026-07-17,555.68
CP000046,C00733,B020,2025-11-25,Charges/Fees,Medium,Closed,2025-11-28,87.93
CP000047,C00737,B004,2025-02-14,Account Service,High,Closed,2025-02-25,173.38
CP000048,C00297,B011,2026-02-26,App/Login,High,Closed,2026-03-13,463.06
CP000049,C00158,B004,2026-08-01,App/Login,Low,Closed,2026-08-11,283.52
CP000050,C00923,B010,2025-12-25,Charges/Fees,Low,Open,,394.35
CP000051,C00135,B021,2024-08-03,Account Service,High,Closed,2024-08-13,80.0
CP000052,C00106,B023,2025-07-04,Charges/Fees,Medium,Closed,2025-07-12,618.97
CP000053,C00577,B014,2025-11-14,App/Login,Medium,Closed,2025-11-19,197.22
CP000054,C00639,B013,2025-04-11,ATM,Medium,Closed,2025-04-14,70.06
CP000055,C00953,B006,2025-03-27,Account Service,Medium,Closed,2025-04-01,101.56
CP000056,C00417,B018,2024-02-24,Unauthorized Transaction,Low,Closed,2024-03-01,184.46
CP000057,C00495,B023,2026-05-01,Card Issue,Medium,Closed,2026-05-10,91.76
CP000058,C00225,B011,2024-08-20,Loan Service,Medium,Closed,2024-08-27,314.33
CP000059,C00490,B010,2024-03-19,Account Service,Critical,Closed,2024-04-12,163.24
CP000060,C00659,B005,2025-04-18,Loan Service,Medium,Closed,2025-04-24,462.76
CP000061,C00411,B004,2024-03-20,Loan Service,Medium,Closed,2024-03-30,480.27
CP000062,C00566,B020,2026-05-26,Charges/Fees,Low,Open,,171.4
CP000063,C00863,B010,2025-01-07,Account Service,Medium,Closed,2025-01-07,495.96
CP000064,C00607,B004,2025-06-09,Card Issue,Low,Open,,262.81
CP000065,C00945,B016,2024-05-19,App/Login,Low,Closed,2024-05-28,518.04
CP000066,C00870,B009,2026-02-24,Unauthorized Transaction,High,Closed,2026-03-06,238.49
CP000067,C00950,B020,2026-04-06,Charges/Fees,Low,Closed,2026-04-13,595.61
CP000068,C00582,B014,2025-08-22,ATM,Low,Closed,2025-08-25,81.99
CP000069,C00783,B006,2024-06-18,Charges/Fees,Medium,Closed,2024-06-22,97.39
CP000070,C00974,B017,2025-06-26,ATM,High,Open,,592.99
CP000071,C00450,B009,2024-05-29,App/Login,Low,Closed,2024-06-02,322.13
CP000072,C00904,B003,2025-03-06,Account Service,Medium,Open,,121.24
CP000073,C00037,B008,2026-06-01,ATM,Low,Closed,2026-06-07,268.16
CP000074,C00114,B023,2025-11-27,Loan Service,High,Closed,2025-12-20,528.02
CP000075,C00122,B016,2025-04-15,ATM,Low,Closed,2025-04-26,647.4
CP000076,C00806,B021,2024-05-01,Account Service,Medium,Closed,2024-05-11,596.42
CP000077,C00810,B014,2026-05-15,Unauthorized Transaction,Critical,Closed,2026-05-20,945.67
CP000078,C00992,B014,2024-03-13,Unauthorized Transaction,Medium,Closed,2024-03-14,576.16
CP000079,C00062,B012,2024-11-17,Charges/Fees,Medium,Closed,2024-11-26,295.05
CP000080,C01000,B016,2025-01-10,Account Service,Medium,Open,,496.14
CP000081,C00582,B014,2024-02-25,Unauthorized Transaction,High,Closed,2024-03-15,553.63
CP000082,C00991,B006,2024-08-14,Unauthorized Transaction,Medium,Closed,2024-08-16,299.22
CP000083,C00870,B009,2024-08-14,App/Login,Medium,Closed,2024-08-14,224.41
CP000084,C00811,B013,2024-03-04,Unauthorized Transaction,Low,Closed,2024-03-07,552.77
CP000085,C00386,B008,2025-11-01,ATM,Low,Closed,2025-11-02,335.07
CP000086,C00011,B009,2026-04-18,App/Login,Low,Closed,2026-04-27,281.29
CP000087,C00230,B010,2024-03-24,Charges/Fees,Low,Closed,2024-04-01,388.54
CP000088,C00086,B016,2025-12-24,Loan Service,Critical,Closed,2026-01-14,136.44
CP000089,C00235,B002,2026-05-26,ATM,Low,Closed,2026-05-28,539.45
CP000090,C00482,B025,2025-02-03,Account Service,Low,Closed,2025-02-15,304.45
CP000091,C00314,B010,2024-03-09,ATM,Medium,Closed,2024-03-10,122.5
CP000092,C00618,B022,2026-02-12,Account Service,Medium,Closed,2026-02-16,479.12
CP000093,C00225,B011,2025-10-08,Account Service,Medium,Closed,2025-10-09,424.75
CP000094,C00004,B017,2024-07-07,Account Service,Low,Open,,445.54
CP000095,C00029,B017,2024-05-02,Account Service,Low,Closed,2024-05-04,102.79
CP000096,C00949,B001,2024-05-10,Loan Service,High,Closed,2024-05-29,384.49
CP000097,C00353,B004,2026-02-18,Unauthorized Transaction,High,Closed,2026-03-06,523.75
CP000098,C00262,B011,2026-06-03,Unauthorized Transaction,Medium,Closed,2026-06-05,648.49
CP000099,C00224,B024,2024-03-28,Account Service,High,Closed,2024-04-12,253.95
CP000100,C00064,B010,2026-01-02,Loan Service,Low,Closed,2026-01-05,197.3
CP000101,C00691,B010,2024-03-21,Charges/Fees,Low,Closed,2024-03-30,337.36
CP000102,C00784,B005,2024-04-01,App/Login,Low,Open,,173.36
CP000103,C00679,B001,2025-01-24,Card Issue,Medium,Closed,2025-02-05,582.43
CP000104,C00816,B023,2026-07-03,App/Login,High,Closed,2026-07-04,50.67
CP000105,C00811,B013,2024-05-13,App/Login,Low,Closed,2024-05-25,222.01
CP000106,C00934,B020,2024-04-10,Card Issue,Medium,Closed,2024-04-15,483.21
CP000107,C00375,B001,2026-01-16,Card Issue,Medium,Open,,117.51
CP000108,C00045,B025,2024-06-25,Account Service,Low,Closed,2024-06-29,677.47
CP000109,C00392,B017,2026-08-27,Loan Service,Critical,Closed,2026-08-28,273.0
CP000110,C00388,B019,2024-02-13,App/Login,Medium,Open,,139.16
CP000111,C00843,B004,2024-08-10,Card Issue,High,Open,,403.91
CP000112,C00517,B006,2025-08-23,Card Issue,Medium,Closed,2025-08-24,387.1
CP000113,C00188,B014,2024-12-06,ATM,Low,Closed,2024-12-18,88.43
CP000114,C00010,B002,2025-03-15,Unauthorized Transaction,Medium,Open,,431.81
CP000115,C00585,B011,2025-09-23,ATM,Medium,Closed,2025-10-04,148.69
CP000116,C00413,B022,2025-11-11,Card Issue,Low,Closed,2025-11-14,369.19
CP000117,C00150,B025,2025-12-21,Charges/Fees,Low,Closed,2025-12-25,440.79
CP000118,C00240,B022,2024-07-03,Charges/Fees,Medium,Closed,2024-07-14,139.94
CP000119,C00027,B017,2024-11-12,Unauthorized Transaction,Medium,Open,,539.34
CP000120,C00812,B022,2024-12-10,Card Issue,Medium,Closed,2024-12-19,337.68
CP000121,C00272,B020,2025-09-15,Loan Service,Medium,Closed,2025-09-26,445.72
CP000122,C00800,B009,2025-08-18,Card Issue,Medium,Closed,2025-08-23,66.59
CP000123,C00341,B017,2025-10-14,Loan Service,Low,Open,,570.45
CP000124,C00963,B024,2026-05-15,App/Login,Low,Closed,2026-05-26,175.01
CP000125,C00739,B020,2026-07-16,Loan Service,Low,Closed,2026-07-18,302.88
CP000126,C00057,B003,2024-06-09,Loan Service,High,Closed,2024-07-02,500.22
CP000127,C00782,B024,2025-09-27,Charges/Fees,Medium,Closed,2025-09-27,306.43
CP000128,C00343,B024,2024-03-25,Card Issue,Low,Closed,2024-04-06,217.17
CP000129,C00990,B004,2025-09-18,Charges/Fees,High,Closed,2025-09-24,278.35
CP000130,C00762,B003,2025-04-12,Charges/Fees,Medium,Closed,2025-04-23,260.19
CP000131,C00220,B010,2024-02-16,Card Issue,High,Closed,2024-03-08,694.45
CP000132,C00680,B011,2025-12-06,Unauthorized Transaction,High,Closed,2025-12-14,182.74
CP000133,C00390,B021,2026-05-26,ATM,High,Open,,428.84
CP000134,C00785,B001,2025-06-29,Account Service,Critical,Closed,2025-07-21,193.09
CP000135,C00864,B016,2025-08-20,Unauthorized Transaction,Low,Closed,2025-08-20,215.62
CP000136,C00864,B016,2024-01-27,Unauthorized Transaction,Low,Closed,2024-02-08,60.41
CP000137,C00359,B019,2025-05-08,Account Service,Low,Closed,2025-05-17,140.42
CP000138,C00854,B012,2024-01-02,Account Service,Medium,Closed,2024-01-02,132.83
CP000139,C00302,B022,2024-03-13,Account Service,Low,Closed,2024-03-18,143.11
CP000140,C00447,B002,2024-10-10,Loan Service,Medium,Closed,2024-10-22,143.83
CP000141,C00342,B003,2025-08-18,Charges/Fees,High,Closed,2025-08-18,504.03
CP000142,C00263,B005,2025-11-02,Unauthorized Transaction,Medium,Closed,2025-11-09,328.04
CP000143,C00257,B005,2025-04-06,Unauthorized Transaction,Low,Closed,2025-04-09,353.18
CP000144,C00765,B018,2026-01-18,Account Service,Medium,Closed,2026-01-22,65.18
CP000145,C00377,B009,2026-01-04,Card Issue,High,Closed,2026-01-26,109.56
CP000146,C00755,B021,2024-12-02,Card Issue,Medium,Closed,2024-12-12,486.37
CP000147,C00113,B025,2025-08-08,Loan Service,High,Open,,614.09
CP000148,C00162,B004,2026-01-31,Unauthorized Transaction,Medium,Closed,2026-02-04,347.64
CP000149,C00463,B011,2026-07-10,Unauthorized Transaction,Medium,Closed,2026-07-16,664.1
CP000150,C00407,B005,2024-05-04,Loan Service,Medium,Closed,2024-05-10,674.22
CP000151,C00632,B001,2024-06-17,Loan Service,Medium,Closed,2024-06-29,695.06
CP000152,C00629,B016,2025-06-07,Charges/Fees,High,Closed,2025-06-13,565.88
CP000153,C00932,B018,2025-12-02,Account Service,High,Closed,2025-12-27,268.78
CP000154,C00832,B015,2024-04-20,Charges/Fees,Low,Closed,2024-04-21,549.28
CP000155,C00352,B018,2026-01-09,Loan Service,Medium,Closed,2026-01-10,340.13
CP000156,C00382,B021,2025-06-20,Charges/Fees,Medium,Closed,2025-06-27,244.56
CP000157,C00023,B008,2024-03-15,ATM,Low,Closed,2024-03-26,151.32
CP000158,C00315,B006,2024-07-15,Card Issue,Low,Closed,2024-07-25,460.4
CP000159,C00551,B010,2025-03-16,App/Login,High,Closed,2025-03-27,539.07
CP000160,C00786,B009,2026-05-24,Charges/Fees,Low,Closed,2026-05-26,332.38
CP000161,C00792,B003,2026-03-31,Loan Service,Critical,Closed,2026-04-16,331.12
CP000162,C00575,B014,2024-06-13,Charges/Fees,High,Closed,2024-07-07,321.52
CP000163,C00930,B019,2024-06-06,ATM,Medium,Open,,85.2
CP000164,C00978,B018,2024-09-01,Loan Service,Low,Closed,2024-09-03,489.01
CP000165,C00894,B009,2025-05-07,Unauthorized Transaction,Medium,Closed,2025-05-11,539.6
CP000166,C00607,B004,2026-01-17,Charges/Fees,Medium,Closed,2026-01-25,276.17
CP000167,C00843,B004,2025-03-18,ATM,Low,Closed,2025-03-22,375.35
CP000168,C00179,B022,2025-10-31,Card Issue,Low,Closed,2025-11-09,639.54
CP000169,C00164,B024,2026-06-04,Loan Service,High,Closed,2026-06-06,374.98
CP000170,C00410,B006,2024-08-17,Loan Service,Low,Closed,2024-08-29,177.62
CP000171,C00214,B018,2026-02-22,ATM,Medium,Closed,2026-03-06,427.43
CP000172,C00370,B018,2025-04-12,Loan Service,Low,Closed,2025-04-20,64.86
CP000173,C00732,B020,2024-01-16,Charges/Fees,High,Closed,2024-01-16,407.58
CP000174,C00119,B012,2024-07-23,Account Service,Medium,Closed,2024-07-27,285.23
CP000175,C00578,B022,2024-12-18,Loan Service,High,Closed,2025-01-10,669.21
CP000176,C00070,B010,2024-11-17,Card Issue,High,Closed,2024-11-30,147.49
CP000177,C00993,B011,2025-03-14,Loan Service,Low,Closed,2025-03-18,697.78
CP000178,C00416,B006,2024-12-31,Unauthorized Transaction,Medium,Closed,2025-01-08,486.38
CP000179,C00657,B022,2025-05-03,Charges/Fees,Low,Closed,2025-05-12,300.99
CP000180,C00770,B003,2026-03-24,Charges/Fees,Medium,Closed,2026-03-25,599.64
CP000181,C00398,B018,2024-12-13,Loan Service,Low,Closed,2024-12-25,336.18
CP000182,C00299,B014,2024-10-10,Account Service,High,Closed,2024-10-25,371.17
CP000183,C00692,B017,2026-02-13,Charges/Fees,Low,Closed,2026-02-20,666.71
CP000184,C00316,B017,2025-06-27,Account Service,Low,Closed,2025-07-01,663.95
CP000185,C00660,B017,2024-01-21,Loan Service,Medium,Closed,2024-01-27,519.84
CP000186,C00434,B011,2026-02-01,Unauthorized Transaction,Low,Closed,2026-02-09,328.83
CP000187,C00221,B024,2024-08-18,Card Issue,High,Closed,2024-08-20,108.27
CP000188,C00433,B009,2024-04-24,Loan Service,Medium,Closed,2024-05-02,443.53
CP000189,C00670,B020,2025-12-03,ATM,Critical,Closed,2025-12-20,430.54
CP000190,C00596,B008,2026-08-04,Card Issue,Low,Open,,584.32
CP000191,C00599,B017,2026-01-26,Account Service,Low,Closed,2026-02-06,686.63
CP000192,C00289,B024,2025-11-12,Loan Service,High,Closed,2025-11-19,283.65
CP000193,C00401,B015,2024-06-01,Card Issue,Low,Closed,2024-06-04,575.63
CP000194,C00367,B012,2026-08-16,Charges/Fees,Low,Closed,2026-08-22,135.49
CP000195,C00693,B008,2025-04-08,Account Service,Low,Closed,2025-04-19,297.91
