login_id,customer_id,login_datetime,device_id,device_type,login_city,ip_address,login_status,failed_attempt_count
LG0000001,C00284,2026-03-22 03:46:58,D00284-1,Windows,Pune,10.222.121.214,Success,0
LG0000002,C00718,2025-05-03 11:09:30,D00718-1,iOS,Delhi,10.141.147.83,Success,0
LG0000003,C00782,2026-03-17 16:37:03,D00782-1,Android,Mumbai,10.30.149.72,Success,0
LG0000004,C00480,2025-02-18 00:35:08,D00480-1,iOS,Kochi,10.138.0.150,Success,0
LG0000005,C00373,2025-10-21 09:54:32,D00373-1,iOS,Bengaluru,10.168.140.95,Failed,5
LG0000006,C00916,2026-07-27 01:16:16,D00916-1,Android,Bengaluru,10.165.5.48,Success,0
LG0000007,C00179,2026-04-19 14:27:12,D00179-1,Android,Mumbai,10.69.170.63,Success,0
LG0000008,C00023,2026-01-01 07:52:21,D00023-1,Android,Chennai,10.243.141.73,Success,0
LG0000009,C00753,2025-04-14 17:57:50,D00753-2,Windows,Hyderabad,10.34.159.221,Success,0
LG0000010,C00976,2026-01-30 09:12:23,D00976-1,Android,Coimbatore,10.235.232.226,Success,0
LG0000011,C00977,2026-06-12 02:15:57,D00977-1,Android,Kochi,10.93.164.116,Success,0
LG0000012,C00918,2026-03-02 01:49:13,D00918-1,Windows,Bengaluru,10.60.231.207,Success,0
LG0000013,C00031,2025-04-04 09:24:08,D00031-1,Android,Kolkata,10.122.243.176,Success,0
LG0000014,C00480,2026-06-02 02:02:09,D00480-1,iOS,Kochi,10.176.147.214,Success,0
LG0000015,C00927,2026-03-24 13:38:44,D00927-1,MacOS,Pune,10.58.208.69,Success,0
LG0000016,C00419,2025-06-16 14:19:43,D00419-1,MacOS,Kochi,10.19.100.140,Success,0
LG0000017,C00447,2026-05-26 14:13:54,D00447-1,MacOS,Pune,10.212.43.31,Success,0
LG0000018,C00225,2026-05-18 18:34:18,D00225-1,Windows,Madurai,10.9.133.23,Success,0
LG0000019,C00441,2025-02-11 09:43:35,D00441-1,iOS,Pune,10.139.115.198,Success,0
LG0000020,C00440,2026-01-23 21:19:49,D00440-1,iOS,Coimbatore,10.166.108.138,Success,0
LG0000021,C00479,2025-10-05 10:36:11,D00479-1,Android,Kochi,10.97.237.24,Success,0
LG0000022,C00110,2026-03-06 04:37:41,D00110-1,Android,Mumbai,10.84.38.21,Success,0
LG0000023,C00279,2026-03-06 18:58:32,D00279-1,Windows,Chennai,10.228.11.29,Success,0
LG0000024,C00104,2026-02-05 02:45:22,D00104-1,Windows,Bengaluru,10.66.115.62,Success,0
LG0000025,C00681,2026-04-29 11:28:52,D00681-1,MacOS,Coimbatore,10.38.84.201,Success,0
LG0000026,C00475,2025-09-19 21:50:13,D00475-1,MacOS,Mumbai,10.50.172.89,Failed,6
LG0000027,C00803,2025-09-20 22:32:26,D00803-1,iOS,Hyderabad,10.159.73.68,Success,0
LG0000028,C00027,2025-07-06 21:15:22,D00027-1,iOS,Pune,10.78.39.152,Success,0
LG0000029,C00662,2026-08-14 15:27:17,D00662-1,MacOS,Delhi,10.49.106.238,Success,0
LG0000030,C00353,2025-12-21 02:18:30,D00353-1,Windows,Hyderabad,10.8.104.8,Success,0
LG0000031,C00354,2026-07-29 14:14:36,D00354-2,Android,Coimbatore,10.65.222.172,Success,0
LG0000032,C00989,2026-07-04 01:24:13,D00989-1,Windows,Kolkata,10.228.2.75,Success,0
LG0000033,C00421,2025-08-14 14:00:42,D00421-1,Windows,Chennai,10.178.144.145,Success,0
LG0000034,C00040,2026-05-05 06:51:20,D00040-1,Windows,Kolkata,10.72.131.248,Success,0
LG0000035,C00685,2025-10-02 10:27:23,D00685-1,Windows,Delhi,10.87.201.124,Success,0
LG0000036,C00432,2026-05-10 07:49:36,D00432-1,Android,Mumbai,10.10.133.111,Success,0
LG0000037,C00097,2025-09-25 10:14:08,D00097-1,Android,Kolkata,10.55.222.202,Success,0
LG0000038,C00272,2026-04-22 01:53:59,D00272-2,Android,Madurai,10.15.42.227,Success,0
LG0000039,C00637,2026-06-18 12:04:34,D00637-1,iOS,Madurai,10.166.14.211,Success,0
LG0000040,C00057,2026-01-02 22:57:33,D00057-1,Windows,Bengaluru,10.208.129.175,Success,0
LG0000041,C00264,2026-08-26 09:34:12,D00264-1,MacOS,Kochi,10.42.81.11,Success,0
LG0000042,C00366,2026-04-17 22:48:57,D00366-1,MacOS,Delhi,10.82.113.56,Failed,6
LG0000043,C00111,2026-01-16 21:09:06,D00111-1,iOS,Mumbai,10.236.2.108,Success,0
LG0000044,C00886,2025-05-28 15:38:24,D00886-2,Windows,Bengaluru,10.100.72.224,Success,0
LG0000045,C00865,2025-10-13 20:55:20,D00865-1,MacOS,Kolkata,10.130.90.235,Success,0
LG0000046,C00688,2026-08-14 22:48:42,D00688-1,iOS,Madurai,10.56.121.2,Failed,2
LG0000047,C00097,2025-11-08 13:34:30,D00097-1,Android,Kolkata,10.77.180.175,Success,0
LG0000048,C00911,2025-07-18 08:00:00,D00911-1,Android,Bengaluru,10.178.3.214,Success,0
LG0000049,C00191,2025-11-18 19:41:32,D00191-1,Android,Mumbai,10.136.130.215,Success,0
LG0000050,C00515,2025-10-17 12:11:53,D00515-1,iOS,Coimbatore,10.226.132.161,Success,0
LG0000051,C00090,2025-12-19 15:56:36,D00090-1,iOS,Madurai,10.185.78.30,Success,0
LG0000052,C00789,2025-03-04 11:06:41,D00789-1,Android,Coimbatore,10.3.119.50,Success,0
LG0000053,C00117,2025-02-26 04:53:09,D00117-1,Windows,Kochi,10.12.126.5,Success,0
LG0000054,C00324,2026-03-19 05:49:27,D00324-1,Android,Bengaluru,10.141.15.184,Success,0
LG0000055,C00670,2025-05-27 05:56:31,D00670-1,Android,Madurai,10.55.0.39,Success,0
LG0000056,C00583,2025-07-21 21:14:46,D00583-1,MacOS,Coimbatore,10.70.116.95,Success,0
LG0000057,C00049,2025-10-18 20:33:01,D00049-1,Android,Delhi,10.210.75.149,Success,0
LG0000058,C00291,2025-12-17 07:53:02,D00291-1,Android,Madurai,10.163.49.22,Failed,1
LG0000059,C00676,2026-02-10 04:04:41,D00676-2,iOS,Kochi,10.188.135.218,Success,0
LG0000060,C00816,2025-04-28 06:19:42,D00816-1,Android,Pune,10.253.172.36,Success,0
LG0000061,C00817,2026-04-30 16:22:18,D00817-2,MacOS,Mumbai,10.229.104.233,Success,0
LG0000062,C00828,2025-03-08 03:01:38,D00828-1,Android,Bengaluru,10.123.15.148,Success,0
LG0000063,C00310,2025-02-04 10:17:31,D00310-1,Windows,Kochi,10.243.180.19,Success,0
LG0000064,C00573,2025-10-21 16:05:39,D00573-3,MacOS,Kolkata,10.242.188.181,Success,0
LG0000065,C00817,2025-04-20 22:21:09,D00817-1,Android,Mumbai,10.250.203.211,Success,0
LG0000066,C00090,2026-05-12 08:08:01,D00090-1,MacOS,Madurai,10.8.154.11,Success,0
LG0000067,C00445,2025-10-21 01:46:07,D00445-1,Windows,Chennai,10.29.136.141,Success,0
LG0000068,C00957,2026-06-26 01:43:50,D00957-1,iOS,Delhi,10.36.212.47,Success,0
LG0000069,C00629,2025-12-31 02:19:20,D00629-1,Windows,Mumbai,10.68.26.119,Success,0
LG0000070,C00732,2025-06-20 13:54:28,D00732-1,iOS,Kochi,10.176.245.20,Success,0
LG0000071,C00734,2026-08-14 13:45:13,D00734-1,iOS,Bengaluru,10.93.132.236,Success,0
LG0000072,C00248,2025-11-24 01:40:29,D00248-1,MacOS,Hyderabad,10.196.23.90,Success,0
LG0000073,C00596,2025-06-20 17:44:49,D00596-1,Windows,Kolkata,10.231.133.165,Success,0
LG0000074,C00799,2026-04-12 10:18:06,D00799-1,MacOS,Madurai,10.51.127.133,Success,0
LG0000075,C00632,2025-01-04 08:14:11,D00632-4,Android,Coimbatore,10.142.127.2,Success,0
LG0000076,C00573,2026-04-14 13:29:09,D00573-1,Windows,Kolkata,10.137.131.114,Success,0
LG0000077,C00553,2025-03-01 19:31:18,D00553-1,MacOS,Pune,10.148.103.98,Success,0
LG0000078,C00960,2026-01-01 01:04:54,D00960-1,MacOS,Hyderabad,10.247.124.82,Success,0
LG0000079,C00185,2026-03-11 21:03:43,D00185-1,MacOS,Kochi,10.90.231.236,Success,0
LG0000080,C00053,2025-01-21 00:07:10,D00053-1,MacOS,Chennai,10.53.171.190,Success,0
LG0000081,C00332,2026-03-31 19:22:28,D00332-1,Android,Coimbatore,10.27.175.64,Success,0
LG0000082,C00680,2025-08-10 09:38:34,D00680-1,MacOS,Delhi,10.71.233.172,Success,0
LG0000083,C00505,2026-07-02 20:11:18,D00505-1,iOS,Delhi,10.173.203.20,Success,0
LG0000084,C00690,2025-04-18 17:24:20,D00690-1,Windows,Delhi,10.55.56.139,Success,0
