login_id,customer_id,login_datetime,device_id,device_type,login_city,ip_address,login_status,failed_attempt_count
LG0000005,C00373,2025-10-21 09:54:32,D00373-1,iOS,Bengaluru,10.168.140.95,Failed,5
LG0000026,C00475,2025-09-19 21:50:13,D00475-1,MacOS,Mumbai,10.50.172.89,Failed,6
LG0000042,C00366,2026-04-17 22:48:57,D00366-1,MacOS,Delhi,10.82.113.56,Failed,6
LG0000093,C00555,2025-12-08 14:13:52,D00555-1,Windows,Chennai,10.25.186.126,Failed,3
LG0000158,C00697,2025-11-05 12:26:04,D00697-1,Android,Coimbatore,10.32.117.35,Failed,4
LG0000168,C00246,2025-06-26 22:59:54,D00246-1,MacOS,Bengaluru,10.75.54.227,Failed,4
LG0000216,C00953,2026-08-31 10:54:49,D00953-1,Android,Delhi,10.179.241.74,Failed,6
LG0000239,C00669,2026-01-07 01:19:06,D00669-1,Windows,Mumbai,10.105.53.41,Failed,6
LG0000364,C00943,2026-08-19 18:12:54,D00943-1,Android,Hyderabad,10.125.7.82,Failed,4
LG0000365,C00789,2025-01-07 06:48:12,D00789-1,Android,Coimbatore,10.75.137.39,Failed,3
LG0000371,C00255,2025-12-31 17:35:12,D00255-1,iOS,Coimbatore,10.190.24.76,Failed,4
LG0000385,C00596,2025-05-14 03:17:55,D00596-1,MacOS,Kolkata,10.141.75.91,Failed,5
LG0000393,C00202,2026-03-23 19:12:13,D00202-1,iOS,Madurai,10.9.246.215,Failed,5
LG0000416,C00158,2026-05-28 13:14:18,D00158-1,MacOS,Delhi,10.211.151.168,Failed,6
LG0000424,C00321,2026-01-02 06:36:25,D00321-1,Windows,Mumbai,10.79.6.243,Failed,3
LG0000438,C00597,2026-03-02 01:23:04,D00597-1,Windows,Madurai,10.199.24.153,Failed,6
LG0000505,C00898,2025-02-14 17:36:01,D00898-1,MacOS,Delhi,10.180.26.53,Failed,3
LG0000522,C00240,2026-02-15 15:34:18,D00240-1,iOS,Coimbatore,10.142.40.55,Failed,5
LG0000527,C00225,2025-03-26 01:13:21,D00225-1,Android,Bengaluru,10.249.227.181,Failed,4
LG0000544,C00062,2025-02-01 14:10:18,D00062-1,Android,Pune,10.177.198.53,Failed,3
LG0000562,C00301,2025-04-26 06:06:07,D00301-1,Windows,Madurai,10.135.157.145,Failed,3
