transaction_id,account_id,customer_id,branch_id,transaction_datetime,transaction_type,transaction_amount,currency,channel,merchant_category,transaction_city,device_id,transaction_status,fee_amount,operational_cost,fraud_confirmed
T00000006,A001052,C00739,B020,2025-05-12 15:03:42,Debit,42705.72,INR,Net Banking,Electronics,Chennai,D00739-1,Success,30.87,29.95,No
T00000017,A001197,C00832,B015,2026-03-08 22:05:12,Credit,22422.25,INR,Mobile Banking,Dining,Coimbatore,D00832-1,Success,25.62,12.11,No
T00000023,A000130,C00083,B004,2024-07-11 16:51:41,Debit,122692.98,INR,Net Banking,Grocery,Pune,D00083-1,Success,5.66,26.04,No
T00000025,A001320,C00917,B011,2026-04-06 16:26:11,Debit,22563.55,INR,Mobile Banking,Healthcare,Bengaluru,D00917-1,Success,34.25,16.69,No
T00000033,A000597,C00419,B018,2025-05-16 21:27:24,Debit,25937.35,INR,Card,E-Commerce,Kochi,D00419-1,Success,4.3,15.54,No
T00000034,A000787,C00544,B001,2025-03-11 03:16:55,Debit,23323.77,INR,UPI,Transfer,Madurai,D00544-1,Success,14.62,12.56,No
T00000072,A001356,C00943,B022,2025-06-10 09:59:41,Debit,37808.3,INR,Mobile Banking,Dining,Hyderabad,D00943-1,Success,24.07,5.42,No
T00000083,A000580,C00408,B025,2026-05-28 01:21:42,Debit,20974.95,INR,ATM,Electronics,Kolkata,D00408-1,Success,20.36,6.77,No
T00000102,A000686,C00477,B013,2024-08-26 06:21:59,Debit,19920.29,INR,Card,Healthcare,Hyderabad,D00477-1,Success,32.22,19.11,No
T00000108,A001351,C00940,B023,2026-08-05 04:52:12,Credit,33099.59,INR,UPI,E-Commerce,Madurai,D00940-1,Success,6.1,21.3,No
T00000118,A000577,C00406,B011,2026-03-20 21:17:21,Debit,33897.49,INR,ATM,E-Commerce,Kolkata,D00406-1,Success,31.74,7.66,No
T00000119,A000128,C00081,B024,2026-06-08 18:47:38,Debit,22293.08,INR,UPI,E-Commerce,Hyderabad,D00081-1,Success,22.4,6.77,No
T00000132,A000398,C00279,B008,2026-04-01 23:43:16,Credit,19872.83,USD,Card,ATM,Chennai,D00279-1,Success,4.5,7.82,No
