customer_id,login_device_count
C00001,3
C00002,3
C00004,3
C00006,3
C00007,3
C00014,3
C00016,3
C00022,3
C00024,3
C00029,3
C00032,3
C00033,3
C00036,3
C00041,3
C00043,3
C00044,4
C00051,3
C00055,3
C00056,3
C00058,3
C00060,3
C00061,3
C00064,4
C00066,3
C00068,3
C00071,3
C00076,4
C00078,3
C00079,4
C00080,3
C00091,3
C00102,3
C00104,3
C00105,3
C00108,3
C00110,3
C00111,3
C00115,3
C00119,3
C00122,3
C00129,3
C00132,3
C00136,4
C00139,3
C00140,3
C00151,3
C00154,3
C00160,3
C00162,4
C00167,3
C00174,3
C00175,3
C00182,3
C00183,3
C00185,3
C00199,3
C00203,3
C00206,3
C00208,4
C00212,3
C00216,3
C00221,3
C00229,3
C00233,3
C00249,3
C00250,3
C00252,3
C00253,3
C00255,3
C00256,3
C00262,3
C00263,3
C00264,3
C00265,3
C00267,3
C00268,3
C00276,3
C00277,3
C00283,4
C00284,3
C00286,4
C00287,3
C00293,3
C00295,3
C00297,3
C00298,4
C00306,3
C00312,4
C00313,3
C00316,3
C00318,3
C00320,3
C00324,3
C00325,3
C00328,3
C00330,3
C00332,3
C00335,3
C00341,3
C00342,3
C00345,3
C00347,3
C00350,4
C00354,4
C00358,3
C00362,3
C00363,3
C00377,3
C00378,3
C00382,3
C00384,3
C00396,3
C00397,3
C00402,3
C00412,3
C00413,4
C00415,4
C00425,3
C00433,3
C00435,3
C00441,3
C00443,3
C00446,3
C00452,3
C00456,3
C00461,3
C00468,4
C00471,3
C00476,3
C00479,3
C00482,3
C00487,4
C00490,3
C00491,3
C00492,3
C00493,3
C00495,3
C00496,3
C00497,3
C00503,4
C00511,3
C00512,3
C00513,3
C00515,3
C00516,3
C00520,3
C00521,3
C00525,3
C00541,3
C00545,3
C00549,3
C00550,3
C00551,3
C00563,3
C00566,3
C00572,3
C00573,3
C00575,3
C00576,3
C00579,3
C00581,3
C00582,3
C00583,3
C00594,3
C00595,3
C00597,3
C00607,3
C00609,3
C00611,3
C00618,3
C00620,3
C00623,3
C00625,3
C00626,3
C00627,3
C00630,3
C00631,3
C00632,4
C00635,3
C00637,3
C00639,3
C00640,4
C00643,3
C00644,3
C00646,3
C00647,3
C00650,3
C00651,3
C00659,3
C00660,4
C00663,3
C00666,3
C00667,3
C00670,4
C00671,3
C00679,3
C00681,3
C00685,4
C00686,4
C00687,4
C00693,3
C00701,3
C00704,3
C00713,3
C00715,3
C00726,3
C00733,3
C00737,3
C00742,3
C00743,4
C00752,3
C00760,3
C00762,4
C00763,3
C00771,3
C00780,3
C00801,3
C00811,3
C00812,3
C00819,3
C00824,3
C00825,3
C00830,3
C00833,3
C00843,3
C00850,3
C00851,3
C00852,3
C00867,3
C00869,3
C00875,3
C00876,4
C00879,4
C00885,3
C00889,3
C00892,3
C00894,3
C00899,3
C00900,3
C00909,4
C00913,3
C00914,3
C00917,4
C00922,3
C00931,3
C00935,3
C00937,3
C00940,3
C00954,3
C00956,3
C00959,3
C00961,3
C00962,3
C00969,4
C00971,3
C00973,3
C00976,3
C00982,3
C00983,4
C00986,3
C00990,3
C00992,4
C00993,3
C00999,3
