transaction_id,account_id,customer_id,branch_id,transaction_datetime,transaction_type,transaction_amount,currency,channel,merchant_category,transaction_city,device_id,transaction_status,fee_amount,operational_cost,fraud_confirmed,previous_transaction_time,minutes_since_previous
T00026098,A000018,C00013,B007,2026-04-08 08:26:00,Debit,63094.59,INR,Net Banking,Transfer,Madurai,D00013-1,Failed,0.0,10.0,No,2026-04-08 08:23:00,3.0
T00026099,A000018,C00013,B007,2026-04-08 08:29:00,Debit,47518.7,INR,Net Banking,Transfer,Madurai,D00013-1,Failed,0.0,10.0,No,2026-04-08 08:26:00,3.0
T00026100,A000018,C00013,B007,2026-04-08 08:32:00,Debit,52363.3,INR,Net Banking,Transfer,Madurai,D00013-1,Failed,0.0,10.0,Yes,2026-04-08 08:29:00,3.0
T00026101,A000018,C00013,B007,2026-04-08 08:35:00,Debit,76070.35,INR,Net Banking,Transfer,Madurai,D00013-1,Failed,0.0,10.0,Yes,2026-04-08 08:32:00,3.0
T00026155,A000021,C00015,B003,2025-07-23 01:43:00,Debit,63146.77,INR,Card,Electronics,Delhi,D00015-1,Success,25.0,15.0,Yes,2025-07-23 01:41:00,2.0
T00026156,A000021,C00015,B003,2025-07-23 01:45:00,Debit,35504.87,INR,Card,Electronics,Delhi,D00015-1,Success,25.0,15.0,Yes,2025-07-23 01:43:00,2.0
T00026157,A000021,C00015,B003,2025-07-23 01:47:00,Debit,37089.92,INR,Card,Electronics,Delhi,D00015-1,Success,25.0,15.0,Yes,2025-07-23 01:45:00,2.0
T00026158,A000021,C00015,B003,2025-07-23 01:49:00,Debit,39745.81,INR,Card,Electronics,Delhi,D00015-1,Success,25.0,15.0,Yes,2025-07-23 01:47:00,2.0
T00026159,A000021,C00015,B003,2025-07-23 01:51:00,Debit,43892.84,INR,Card,Electronics,Delhi,D00015-1,Success,25.0,15.0,Yes,2025-07-23 01:49:00,2.0
T00008141,A000033,C00025,B014,2025-10-13 14:17:28,Debit,6655.1,INR,Card,Transfer,Hyderabad,D00025-1,Success,19.42,7.81,No,2025-10-13 14:16:09,1.3166666666666667
T00026039,A000047,C00033,B014,2026-07-07 00:35:00,Debit,22999.38,INR,Net Banking,Transfer,Pune,D00033-1,Failed,0.0,10.0,No,2026-07-07 00:32:00,3.0
T00026040,A000047,C00033,B014,2026-07-07 00:38:00,Debit,21735.83,INR,Net Banking,Transfer,Pune,D00033-1,Failed,0.0,10.0,No,2026-07-07 00:35:00,3.0
T00026041,A000047,C00033,B014,2026-07-07 00:41:00,Debit,44900.68,INR,Net Banking,Transfer,Pune,D00033-1,Failed,0.0,10.0,Yes,2026-07-07 00:38:00,3.0
T00026042,A000047,C00033,B014,2026-07-07 00:44:00,Debit,20762.41,INR,Net Banking,Transfer,Pune,D00033-1,Failed,0.0,10.0,Yes,2026-07-07 00:41:00,3.0
T00024034,A000072,C00047,B020,2024-05-26 09:53:53,Credit,7265.19,INR,Card,E-Commerce,Pune,D00047-1,Success,24.95,7.6,No,2024-05-26 09:48:16,5.616666666666666
T00016470,A000223,C00150,B025,2026-05-29 08:55:31,Debit,1708.67,INR,Card,Electronics,Madurai,D00150-1,Success,21.79,29.61,No,2026-05-29 08:46:28,9.05
T00019127,A000323,C00224,B024,2025-04-24 08:12:30,Debit,1222.1,INR,Net Banking,Dining,Mumbai,D00224-1,Failed,10.63,8.33,No,2025-04-24 08:11:34,0.9333333333333333
T00026122,A000360,C00251,B002,2026-01-15 14:18:00,Debit,69614.24,INR,Net Banking,Transfer,Mumbai,D00251-1,Failed,0.0,10.0,No,2026-01-15 14:15:00,3.0
T00026123,A000360,C00251,B002,2026-01-15 14:21:00,Debit,22192.52,INR,Net Banking,Transfer,Mumbai,D00251-1,Failed,0.0,10.0,No,2026-01-15 14:18:00,3.0
T00026124,A000360,C00251,B002,2026-01-15 14:24:00,Debit,53295.96,INR,Net Banking,Transfer,Mumbai,D00251-1,Failed,0.0,10.0,Yes,2026-01-15 14:21:00,3.0
T00026125,A000360,C00251,B002,2026-01-15 14:27:00,Debit,70764.73,INR,Net Banking,Transfer,Mumbai,D00251-1,Failed,0.0,10.0,Yes,2026-01-15 14:24:00,3.0
T00026081,A000409,C00287,B009,2026-03-30 17:16:00,Debit,77664.28,INR,Net Banking,Transfer,Kolkata,D00287-1,Failed,0.0,10.0,No,2026-03-30 17:13:00,3.0
T00026082,A000409,C00287,B009,2026-03-30 17:19:00,Debit,35484.94,INR,Net Banking,Transfer,Kolkata,D00287-1,Failed,0.0,10.0,No,2026-03-30 17:16:00,3.0
T00026083,A000409,C00287,B009,2026-03-30 17:22:00,Debit,53966.5,INR,Net Banking,Transfer,Kolkata,D00287-1,Failed,0.0,10.0,Yes,2026-03-30 17:19:00,3.0
