transaction_id,account_id,customer_id,branch_id,transaction_datetime,transaction_type,transaction_amount,currency,channel,merchant_category,transaction_city,device_id,transaction_status,fee_amount,operational_cost,fraud_confirmed,previous_transaction_time,minutes_since_previous,previous_city
T00026006,A000028,C00021,B012,2025-06-17 06:45:00,Debit,127015.45,INR,Card,Travel,Bengaluru,D00021-1,Success,30.0,18.0,Yes,2025-06-17 04:45:00,120.0,Coimbatore
T00026007,A000028,C00021,B012,2025-06-17 08:45:00,Debit,46302.35,INR,Card,Travel,Chennai,D00021-1,Success,30.0,18.0,Yes,2025-06-17 06:45:00,120.0,Bengaluru
T00026135,A000036,C00026,B024,2025-11-24 18:27:00,Debit,77597.14,INR,Card,Travel,Coimbatore,D00026-1,Success,30.0,18.0,Yes,2025-11-24 16:27:00,120.0,Kochi
T00026136,A000036,C00026,B024,2025-11-24 20:27:00,Debit,49553.67,INR,Card,Travel,Mumbai,D00026-1,Success,30.0,18.0,Yes,2025-11-24 18:27:00,120.0,Coimbatore
T00001281,A000036,C00026,B024,2025-11-24 21:12:03,Credit,2117.38,USD,ATM,Transfer,Chennai,D00026-1,Success,18.84,13.47,No,2025-11-24 20:27:00,45.05,Mumbai
T00026127,A000069,C00045,B025,2026-05-06 07:32:00,Debit,83848.45,INR,Card,Travel,Hyderabad,D00045-1,Success,30.0,18.0,Yes,2026-05-06 05:32:00,120.0,Chennai
T00026128,A000069,C00045,B025,2026-05-06 09:32:00,Debit,64921.45,INR,Card,Travel,Pune,D00045-1,Success,30.0,18.0,Yes,2026-05-06 07:32:00,120.0,Hyderabad
T00026086,A000133,C00085,B012,2026-01-21 16:26:00,Debit,47208.06,INR,Card,Travel,Pune,D00085-1,Success,30.0,18.0,Yes,2026-01-21 14:26:00,120.0,Bengaluru
T00026087,A000133,C00085,B012,2026-01-21 18:26:00,Debit,92852.12,INR,Card,Travel,Mumbai,D00085-1,Success,30.0,18.0,Yes,2026-01-21 16:26:00,120.0,Pune
T00026064,A000210,C00141,B010,2026-02-23 02:07:00,Debit,73727.64,INR,Card,Travel,Mumbai,D00141-1,Success,30.0,18.0,Yes,2026-02-23 00:07:00,120.0,Pune
T00026065,A000210,C00141,B010,2026-02-23 04:07:00,Debit,66900.72,INR,Card,Travel,Hyderabad,D00141-1,Success,30.0,18.0,Yes,2026-02-23 02:07:00,120.0,Mumbai
T00026073,A000239,C00164,B024,2026-02-08 17:39:00,Debit,123892.0,INR,Card,Travel,Delhi,D00164-1,Success,30.0,18.0,Yes,2026-02-08 15:39:00,120.0,Kolkata
T00026074,A000239,C00164,B024,2026-02-08 19:39:00,Debit,84309.84,INR,Card,Travel,Bengaluru,D00164-1,Success,30.0,18.0,Yes,2026-02-08 17:39:00,120.0,Delhi
T00026009,A000273,C00190,B014,2026-05-26 00:24:00,Debit,127598.68,INR,Card,Travel,Madurai,D00190-1,Success,30.0,18.0,Yes,2026-05-25 22:24:00,120.0,Hyderabad
T00026010,A000273,C00190,B014,2026-05-26 02:24:00,Debit,43640.36,INR,Card,Travel,Coimbatore,D00190-1,Success,30.0,18.0,Yes,2026-05-26 00:24:00,120.0,Madurai
T00026162,A000291,C00201,B010,2025-10-03 12:35:00,Debit,60222.55,INR,Card,Travel,Chennai,D00201-1,Success,30.0,18.0,Yes,2025-10-03 10:35:00,120.0,Bengaluru
T00026163,A000291,C00201,B010,2025-10-03 14:35:00,Debit,84868.14,INR,Card,Travel,Delhi,D00201-1,Success,30.0,18.0,Yes,2025-10-03 12:35:00,120.0,Chennai
T00026119,A000366,C00255,B011,2025-12-06 17:21:00,Debit,76614.76,INR,Card,Travel,Hyderabad,D00255-1,Success,30.0,18.0,Yes,2025-12-06 15:21:00,120.0,Bengaluru
T00026120,A000366,C00255,B011,2025-12-06 19:21:00,Debit,112378.14,INR,Card,Travel,Kochi,D00255-1,Success,30.0,18.0,Yes,2025-12-06 17:21:00,120.0,Hyderabad
T00026142,A000925,C00645,B003,2025-10-16 05:11:00,Debit,139884.95,INR,Card,Travel,Chennai,D00645-1,Success,30.0,18.0,Yes,2025-10-16 03:11:00,120.0,Madurai
T00026143,A000925,C00645,B003,2025-10-16 07:11:00,Debit,131690.43,INR,Card,Travel,Mumbai,D00645-1,Success,30.0,18.0,Yes,2025-10-16 05:11:00,120.0,Chennai
T00026026,A001150,C00802,B013,2025-08-01 07:41:00,Debit,45624.91,INR,Card,Travel,Kolkata,D00802-1,Success,30.0,18.0,Yes,2025-08-01 05:41:00,120.0,Delhi
T00026027,A001150,C00802,B013,2025-08-01 09:41:00,Debit,106393.64,INR,Card,Travel,Madurai,D00802-1,Success,30.0,18.0,Yes,2025-08-01 07:41:00,120.0,Kolkata
T00026169,A001226,C00854,B012,2026-04-08 08:25:00,Debit,137628.98,INR,Card,Travel,Kochi,D00854-1,Success,30.0,18.0,Yes,2026-04-08 06:25:00,120.0,Mumbai
T00026170,A001226,C00854,B012,2026-04-08 10:25:00,Debit,87751.22,INR,Card,Travel,Coimbatore,D00854-1,Success,30.0,18.0,Yes,2026-04-08 08:25:00,120.0,Kochi
