transaction_id,account_id,customer_id,branch_id,transaction_datetime,transaction_type,transaction_amount,currency,channel,merchant_category,transaction_city,device_id,transaction_status,fee_amount,operational_cost,fraud_confirmed,expected_customer_id
T00000206,A000221,C00149,B015,2025-09-06 02:02:17,Debit,1016.95,INR,Card,Fuel,Coimbatore,D00149-1,Success,27.57,10.91,No,C99999
T00000901,A000634,,B011,2024-08-02 12:17:19,Debit,3710.37,INR,Card,Dining,Chennai,D00442-1,Success,27.07,9.58,No,C00442
T00001152,A000221,C00149,B015,2026-08-05 16:35:59,Debit,2298.94,INR,UPI,Fuel,Coimbatore,D00149-1,Success,33.56,6.81,No,C99999
T00004842,A000221,C00149,B015,2024-01-10 16:51:02,Debit,1572.72,INR,ATM,Electronics,Coimbatore,D00149-1,Success,10.0,25.35,No,C99999
T00008221,A000221,C00149,B015,2025-08-05 08:29:11,Credit,15200.74,INR,Net Banking,Transfer,Coimbatore,D00149-1,Success,14.44,23.82,No,C99999
T00008372,A000221,C00149,B015,2024-07-06 12:28:10,Debit,4908.04,INR,UPI,E-Commerce,Coimbatore,D00149-1,Success,7.39,14.55,No,C99999
T00008847,A000221,C00149,B015,2024-01-18 12:38:41,Debit,4772.36,INR,Net Banking,ATM,Coimbatore,D00149-1,Failed,21.45,28.65,No,C99999
T00009538,A000221,C00149,B015,2024-03-07 04:42:51,Debit,14718.25,INR,Mobile Banking,ATM,Coimbatore,D00149-1,Success,0.34,25.08,No,C99999
T00009682,A000221,C00149,B015,2026-01-16 21:06:22,Debit,12638.0,INR,Card,E-Commerce,Coimbatore,D00149-1,Success,5.25,18.74,No,C99999
T00009716,A000221,C00149,B015,2025-05-19 10:45:21,Debit,4679.62,INR,Mobile Banking,Transfer,Coimbatore,D00149-1,Success,30.19,18.19,No,C99999
T00010244,A000221,C00149,B015,2024-05-06 19:03:59,Credit,9445.57,INR,Net Banking,Healthcare,Coimbatore,D00149-1,Success,17.84,8.75,No,C99999
T00011950,A000221,C00149,B015,2025-10-06 14:33:48,Debit,5404.14,INR,UPI,Dining,Coimbatore,D00149-1,Success,18.14,21.81,No,C99999
T00016124,A000221,C00149,B015,2024-10-10 11:12:46,Debit,11252.38,INR,Card,Travel,Coimbatore,D00149-1,Success,31.29,12.64,No,C99999
T00017652,A000221,C00149,B015,2026-02-05 16:27:30,Debit,1832.36,INR,Branch,Utilities,Coimbatore,D00149-1,Success,4.9,21.63,No,C99999
T00019572,A000221,C00149,B015,2024-09-20 09:32:53,Debit,5840.69,INR,Card,Dining,Coimbatore,D00149-1,Success,13.36,19.15,No,C99999
T00019584,A000221,C00149,B015,2025-06-24 11:20:59,Credit,2910.38,INR,Net Banking,E-Commerce,Coimbatore,D00149-1,Success,30.96,5.09,No,C99999
T00020584,A000221,C00149,B015,2024-12-07 19:00:55,Debit,7523.23,INR,Mobile Banking,Dining,Coimbatore,D00149-1,Success,7.46,24.93,No,C99999
T00021500,A000221,C00149,B015,2025-01-22 02:16:06,Credit,1804.31,INR,UPI,Utilities,Coimbatore,D00149-1,Success,18.48,16.06,No,C99999
T00023753,A000221,C00149,B015,2025-06-12 04:01:00,Debit,2364.97,INR,UPI,Utilities,Coimbatore,D00149-1,Success,2.57,16.54,No,C99999
T00024515,A000221,C00149,B015,2024-04-10 20:00:26,Debit,1596.3,INR,Card,Fuel,Coimbatore,D00149-1,Success,9.26,16.3,No,C99999
