branch_id,total_transactions,total_transaction_value,suspicious_transactions,suspicious_amount,confirmed_fraud_transactions,suspicious_transaction_pct
B001,1294,10520675.24,2,67938.02,0,0.1545595054095827
B002,805,6951809.81,10,1191632.37,3,1.2422360248447204
B003,1117,8730458.05,16,831012.01,11,1.432408236347359
B004,1154,10365239.94,7,512859.21,4,0.6065857885615251
B005,1235,10344507.03,11,1238778.9300000002,7,0.8906882591093117
B006,995,9255031.34,15,652470.87,10,1.507537688442211
B007,920,7635053.46,12,454306.01999999996,2,1.3043478260869565
B008,959,8198620.98,11,529186.22,4,1.1470281543274243
B009,821,6563482.22,13,629270.9500000001,6,1.5834348355663823
B010,1114,9631964.81,9,1149052.16,7,0.807899461400359
B011,1014,8177882.66,10,512839.51,3,0.9861932938856016
B012,945,8592091.15,23,1434558.2999999998,13,2.433862433862434
B013,929,7495317.93,13,753534.2000000001,9,1.3993541442411195
B014,1060,8788557.11,15,728327.6900000002,5,1.4150943396226416
B015,1158,9783757.46,14,536080.37,6,1.2089810017271159
B016,1094,8187167.75,8,333993.39,2,0.7312614259597806
B017,1141,9521930.03,5,847992.98,1,0.43821209465381245
B018,858,6905259.35,14,972614.6199999999,8,1.6317016317016315
B019,897,6580336.93,7,283842.41,4,0.7803790412486065
B020,1121,8450784.65,12,503693.77,8,1.070472792149866
B021,861,7174759.99,5,153849.53,0,0.5807200929152149
B022,978,7431295.58,14,639381.2399999999,10,1.4314928425357873
B023,1095,9225587.72,10,458294.28,6,0.91324200913242
B024,1349,11900466.1,13,1718112.2299999997,8,0.9636767976278725
B025,1254,9864720.92,11,409047.82,3,0.8771929824561403
