transaction_id,account_id,customer_id,branch_id,transaction_datetime,transaction_type,transaction_amount,currency,channel,merchant_category,transaction_city,device_id,transaction_status,fee_amount,operational_cost,fraud_confirmed,high_value_flag,rapid_transaction_flag,location_change_flag,failed_transaction_flag,basic_fraud_flag_count,previous_transaction_time,minutes_since_previous,unusual_amount_flag,previous_city,multiple_device_flag,unusual_merchant_flag,repeated_failed_flag,failed_login_flag,previous_customer_transaction,days_since_previous,high_value_after_dormant_flag
T00004149,A000002,C00002,B017,2026-01-31 06:47:40,Debit,21136.66,INR,UPI,Dining,Kochi,D00002-1,Success,10.28,12.5,No,1,0,0,0,1,2025-12-23 19:53:03,55374.61666666667,1,Kochi,0,0,0,0,2025-12-23 19:53:03,38.454594907407404,1
T00001728,A000003,C00002,B017,2026-06-17 16:49:16,Debit,30517.2,INR,Net Banking,Utilities,Kochi,D00002-1,Success,21.96,15.53,No,1,0,0,0,1,2026-04-18 18:41:05,86288.18333333333,1,Kochi,0,0,0,0,2026-04-18 18:41:05,59.922349537037036,1
T00021149,A000003,C00002,B017,2026-07-25 00:59:49,Debit,23618.92,INR,UPI,Dining,Kochi,D00002-1,Success,23.04,13.8,No,1,0,0,0,1,2026-06-17 16:49:16,53770.55,1,Kochi,0,0,0,0,2026-06-17 16:49:16,37.34065972222222,1
T00017127,A000005,C00003,B022,2025-03-11 06:11:47,Debit,31311.0,INR,Card,Utilities,Kolkata,D00003-1,Success,29.1,17.11,No,1,0,0,0,1,2024-09-28 14:43:58,235647.81666666668,1,Kolkata,0,0,0,0,2024-09-28 14:43:58,163.64431712962963,1
T00016494,A000004,C00003,B022,2026-03-26 21:24:15,Debit,20228.24,INR,Net Banking,E-Commerce,Kolkata,D00003-1,Success,32.62,7.24,No,1,0,0,0,1,2026-01-27 05:38:58,84465.28333333334,1,Kolkata,0,0,0,0,2026-01-27 05:38:58,58.65644675925926,1
T00011895,A000007,C00004,B017,2025-04-16 19:42:18,Credit,23183.66,INR,UPI,Travel,Kolkata,D00004-1,Success,9.64,16.59,No,1,0,0,0,1,2025-02-09 08:39:01,95703.28333333334,1,Kolkata,0,0,0,1,2025-02-09 08:39:01,66.46061342592593,1
T00022934,A000008,C00005,B001,2024-05-03 02:46:35,Debit,28279.31,INR,Card,Fuel,Mumbai,D00005-1,Success,8.22,15.85,No,1,0,0,0,1,2024-03-09 05:43:52,79022.71666666666,1,Mumbai,0,0,0,0,2024-03-09 05:43:52,54.87688657407407,1
T00016842,A000016,C00011,B009,2024-05-28 20:55:36,Debit,27588.82,INR,UPI,ATM,Bengaluru,D00011-1,Success,14.26,23.65,No,1,0,0,0,1,2024-04-09 10:57:00,71158.6,1,Bengaluru,0,0,0,0,2024-04-09 10:57:00,49.41569444444445,1
T00026097,A000018,C00013,B007,2026-04-08 08:23:00,Debit,21642.9,INR,Net Banking,Transfer,Madurai,D00013-1,Failed,0.0,10.0,No,1,0,0,1,2,2026-01-07 20:01:08,130341.86666666667,1,Madurai,0,0,1,1,2026-01-07 20:01:08,90.51518518518519,1
T00021876,A000021,C00015,B003,2025-06-04 09:34:38,Credit,22236.75,INR,UPI,Healthcare,Delhi,D00015-1,Success,11.29,26.59,No,1,0,0,0,1,2025-01-28 01:19:54,183374.73333333334,1,Delhi,0,0,0,0,2025-01-28 01:19:54,127.34356481481481,1
T00010320,A000021,C00015,B003,2026-02-06 16:46:25,Debit,34338.08,INR,UPI,Travel,Delhi,D00015-1,Success,32.75,4.32,No,1,0,0,0,1,2025-12-19 01:57:28,71448.95,1,Delhi,0,0,0,0,2025-12-19 01:57:28,49.61732638888889,1
T00007432,A000025,C00019,B002,2024-10-05 11:09:10,Debit,24460.97,INR,UPI,Fuel,Hyderabad,D00019-1,Success,4.47,19.07,No,1,0,0,0,1,2024-08-25 19:36:07,58533.05,1,Hyderabad,0,0,0,0,2024-08-25 19:36:07,40.64795138888889,1
T00023103,A000028,C00021,B012,2026-04-23 14:23:15,Debit,40367.74,INR,Net Banking,Dining,Mumbai,D00021-1,Success,32.66,18.93,No,1,0,0,0,1,2026-03-24 00:17:30,44045.75,1,Mumbai,0,0,0,0,2026-03-24 00:17:30,30.58732638888889,1
