customer_id,transaction_device_count,login_device_count,multiple_device_flag
C00012,5.0,2,1
C00044,1.0,4,1
C00064,1.0,4,1
C00076,1.0,4,1
C00079,1.0,4,1
C00083,5.0,1,1
C00121,5.0,2,1
C00136,1.0,4,1
C00159,5.0,2,1
C00162,1.0,4,1
C00180,5.0,2,1
C00208,1.0,4,1
C00214,5.0,1,1
C00283,1.0,4,1
C00286,1.0,4,1
C00298,1.0,4,1
C00312,1.0,4,1
C00350,1.0,4,1
C00352,5.0,1,1
C00354,1.0,4,1
C00413,1.0,4,1
C00415,1.0,4,1
C00468,1.0,4,1
C00487,1.0,4,1
C00503,1.0,4,1
C00596,5.0,1,1
C00632,1.0,4,1
C00640,1.0,4,1
C00660,1.0,4,1
C00670,1.0,4,1
C00685,1.0,4,1
C00686,1.0,4,1
C00687,1.0,4,1
C00710,5.0,2,1
C00743,1.0,4,1
C00762,1.0,4,1
C00876,1.0,4,1
C00879,1.0,4,1
C00884,5.0,1,1
C00906,5.0,2,1
C00909,1.0,4,1
C00917,1.0,4,1
C00961,5.0,3,1
C00969,1.0,4,1
C00983,1.0,4,1
C00992,1.0,4,1
