customer_id,failed_transaction_count
C00006,4
C00013,6
C00014,3
C00018,3
C00022,3
C00025,3
C00029,4
C00033,6
C00036,3
C00040,3
C00043,3
C00048,3
C00052,3
C00054,5
C00060,3
C00061,4
C00062,3
C00063,4
C00064,6
C00068,3
C00083,6
C00109,3
C00114,3
C00121,3
C00129,3
C00140,4
C00146,3
C00147,3
C00149,3
C00159,3
C00167,4
C00178,3
C00186,3
C00197,4
C00205,3
C00224,5
C00226,4
C00238,4
C00244,3
C00251,5
C00253,3
C00267,3
C00282,4
C00286,3
C00287,5
C00309,3
C00311,3
C00325,3
C00329,4
C00340,3
C00345,3
C00347,3
C00351,3
C00352,4
C00356,5
C00374,4
C00389,5
C00397,3
C00398,3
C00407,4
C00410,5
C00417,3
C00423,3
C00424,3
C00428,8
C00432,5
C00438,6
C00440,3
C00442,3
C00446,3
C00451,4
C00452,5
C00458,6
C00461,4
C00463,3
C00480,3
C00484,3
C00491,5
C00492,3
C00493,5
C00497,3
C00502,4
C00507,3
C00508,3
C00509,3
C00524,4
C00528,3
C00530,3
C00535,3
C00537,5
C00539,3
C00542,6
C00557,5
C00558,3
C00561,3
C00562,5
C00564,3
C00576,3
C00579,3
C00582,3
C00587,4
C00592,4
C00596,4
C00601,3
C00603,3
C00619,5
C00622,3
C00625,4
C00626,3
C00631,3
C00638,4
C00646,3
C00661,4
C00662,3
C00671,3
C00672,4
C00682,4
C00688,3
C00697,4
C00704,3
C00705,3
C00724,4
C00728,7
C00732,3
C00736,5
C00745,3
C00772,4
C00775,5
C00776,4
C00778,3
C00779,6
C00780,5
C00782,3
C00795,3
C00803,3
C00812,3
C00819,4
C00824,3
C00836,3
C00861,4
C00862,6
C00877,3
C00879,4
C00888,6
C00892,3
C00904,3
C00906,3
C00910,3
C00924,3
C00937,6
C00939,3
C00942,3
C00944,3
C00949,3
C00957,3
C00962,5
C00972,3
C00981,4
C00983,4
