customer_id,suspicious_login_records,max_failed_attempts
C00004,2,4
C00008,1,5
C00013,1,3
C00016,2,5
C00017,2,6
C00018,4,4
C00027,1,5
C00029,1,5
C00033,2,3
C00034,2,4
C00036,3,4
C00039,3,4
C00041,2,6
C00042,2,6
C00043,2,6
C00044,1,3
C00045,1,4
C00047,1,6
C00049,1,4
C00051,1,3
C00052,3,5
C00055,1,4
C00056,2,6
C00057,2,6
C00061,1,3
C00062,1,3
C00069,1,4
C00070,1,3
C00071,1,6
C00072,2,3
C00077,2,4
C00080,2,4
C00081,3,6
C00083,3,6
C00084,1,4
C00085,1,6
C00087,2,5
C00088,1,4
C00089,2,4
C00090,2,4
C00092,2,6
C00096,3,6
C00097,1,3
C00099,3,4
C00101,2,6
C00102,2,4
C00106,3,6
C00108,2,5
C00111,1,4
C00112,2,4
C00113,2,5
C00114,3,5
C00115,2,4
C00118,1,4
C00120,3,6
C00122,2,3
C00123,4,6
C00124,2,6
C00128,1,3
C00129,1,4
C00131,3,3
C00132,2,4
C00133,4,6
C00134,1,5
C00135,2,5
C00136,1,6
C00145,2,5
C00146,2,3
C00148,1,3
C00149,3,5
C00151,1,5
C00152,1,5
C00154,1,3
C00156,1,3
C00157,2,4
C00158,1,6
C00159,1,4
C00161,2,6
C00162,1,3
C00164,1,3
C00167,4,6
C00168,3,4
C00169,1,4
C00171,1,6
C00173,1,5
C00174,1,4
C00175,1,4
C00178,1,3
C00182,1,3
C00183,2,5
C00184,3,6
C00185,1,5
C00187,3,6
C00189,1,5
C00190,1,4
C00191,2,6
C00192,2,5
C00193,5,6
C00195,2,5
C00196,1,6
C00197,1,6
C00199,1,6
C00201,1,3
C00202,3,5
C00204,4,5
C00205,2,6
C00208,3,6
C00209,1,5
C00211,2,6
C00213,1,3
C00217,1,3
C00221,2,6
C00222,1,6
C00225,3,4
C00227,2,6
C00231,1,4
C00235,2,6
C00236,2,5
C00239,1,3
C00240,2,5
C00241,2,5
C00242,1,5
C00243,2,6
C00246,1,4
C00248,3,4
C00250,2,4
C00251,1,6
C00254,1,3
C00255,2,5
C00256,2,4
C00258,3,5
C00260,1,6
C00265,1,5
C00268,2,5
C00270,2,6
C00271,2,4
C00272,1,6
C00273,1,4
C00276,2,3
C00278,1,4
C00279,1,3
C00280,2,6
C00281,1,3
C00282,3,6
C00287,1,4
C00290,2,6
C00291,3,4
C00292,4,6
C00294,1,6
C00295,1,5
C00296,2,5
C00298,1,5
C00301,3,5
C00302,1,3
C00303,2,4
C00305,1,6
C00310,4,6
C00311,2,5
C00313,3,6
C00314,3,3
C00318,2,6
C00319,3,6
C00320,1,4
C00321,1,3
C00323,3,6
C00326,1,3
C00330,1,6
C00332,1,6
C00333,2,5
C00335,2,4
C00336,2,6
C00339,1,6
C00341,1,5
C00348,2,5
C00350,2,6
C00353,1,3
C00356,2,5
C00357,1,5
C00358,1,6
C00359,2,6
C00360,2,6
C00366,2,6
C00367,2,5
C00368,2,3
C00373,2,5
C00375,2,6
C00378,1,3
C00379,1,5
C00389,1,6
C00392,1,3
C00393,5,5
C00395,1,6
C00396,2,6
C00399,1,4
C00401,1,4
C00403,1,4
C00404,2,6
C00407,2,4
C00408,4,5
C00410,2,6
C00411,3,4
C00414,1,4
C00416,1,5
C00418,1,6
C00419,3,5
C00421,4,5
C00424,1,6
C00427,5,5
C00428,1,6
C00431,1,3
C00432,1,6
C00433,1,4
C00435,1,5
C00436,2,6
C00442,1,3
C00445,1,5
C00446,1,4
C00447,1,3
C00448,1,5
C00450,2,5
C00454,1,3
C00456,2,5
C00460,2,3
C00465,1,4
C00466,1,3
C00467,1,3
C00468,3,6
C00470,2,6
C00471,1,4
C00475,2,6
C00476,2,6
C00479,2,6
C00480,1,5
C00481,1,4
C00483,1,5
C00484,1,3
C00485,2,4
C00490,1,4
C00492,2,3
C00494,2,6
C00495,1,3
C00496,1,3
C00497,4,6
C00498,2,6
C00499,2,3
C00502,1,5
C00503,1,3
C00505,1,3
C00507,2,5
C00508,1,6
C00512,1,6
C00514,3,3
C00519,2,3
C00521,2,5
C00522,1,4
C00523,2,5
C00524,2,6
C00525,3,5
C00527,1,3
C00530,1,5
C00532,1,4
C00533,2,3
C00537,2,6
C00540,2,6
C00542,1,4
C00543,2,6
C00545,2,6
C00546,2,3
C00548,2,5
C00550,2,5
C00551,2,5
C00552,1,3
C00553,1,6
C00555,2,6
C00557,1,6
C00558,1,4
C00559,1,6
C00563,2,5
C00565,3,5
C00566,5,4
C00572,1,6
C00573,3,6
C00575,1,6
C00577,1,5
C00578,2,5
C00580,2,4
C00581,1,4
C00583,1,4
C00587,1,4
C00589,2,6
C00594,1,3
C00595,1,4
C00596,4,5
C00597,2,6
C00598,2,3
C00599,1,6
C00606,2,3
C00607,1,5
C00608,3,5
C00609,2,6
C00612,2,6
C00614,1,6
C00617,1,6
C00620,1,5
C00621,1,4
C00623,3,6
C00625,1,3
C00627,2,4
C00629,1,6
C00630,1,6
C00634,1,3
C00635,5,6
C00638,2,5
C00640,3,6
C00645,3,5
C00647,2,4
C00649,1,5
C00650,2,6
C00655,3,3
C00656,1,4
C00657,2,5
C00658,1,5
C00659,2,4
C00660,3,3
C00662,2,6
C00663,3,4
C00669,4,6
C00673,3,5
C00676,1,5
C00678,1,4
C00680,2,5
C00681,4,6
C00682,1,6
C00684,2,4
C00685,1,5
C00686,2,6
C00687,1,3
C00688,2,5
C00689,1,5
C00691,1,4
C00694,3,5
C00696,1,4
C00697,3,5
C00698,3,6
C00699,3,6
C00700,2,4
C00701,2,6
C00704,1,4
C00705,1,4
C00708,4,3
C00709,1,4
C00712,1,3
C00714,1,3
C00715,1,4
C00716,1,4
C00717,2,5
C00719,1,6
C00720,1,4
C00724,2,4
C00725,3,4
C00730,2,5
C00731,1,6
C00732,2,5
C00735,1,4
C00736,1,6
C00737,1,4
C00739,2,4
C00740,2,3
C00743,2,6
C00745,2,6
C00746,1,5
C00747,1,4
C00748,1,4
C00749,1,4
C00750,1,4
C00752,3,5
C00755,2,3
C00759,1,6
C00760,2,6
C00761,2,5
C00762,2,5
C00763,2,5
C00764,3,6
C00765,2,4
C00768,1,3
C00771,1,6
C00774,3,6
C00778,1,4
C00780,3,4
C00781,1,4
C00785,2,3
C00786,2,6
C00788,1,5
C00789,2,3
C00790,3,5
C00793,3,4
C00796,2,5
C00797,1,5
C00798,2,5
C00802,3,5
C00806,1,4
C00807,1,6
C00810,2,3
C00812,1,3
C00813,1,5
C00814,1,4
C00819,2,5
C00820,2,5
C00822,3,6
C00823,3,6
C00825,2,4
C00826,1,3
C00827,4,6
C00831,2,6
C00835,2,6
C00837,2,4
C00839,2,5
C00841,2,6
C00843,2,5
