transaction_id,account_id,customer_id,branch_id,transaction_datetime,transaction_type,transaction_amount,currency,channel,merchant_category,transaction_city,device_id,transaction_status,fee_amount,operational_cost,fraud_confirmed,high_value_flag,rapid_transaction_flag,location_change_flag,failed_transaction_flag,basic_fraud_flag_count,previous_transaction_time,minutes_since_previous,unusual_amount_flag,previous_city,multiple_device_flag,unusual_merchant_flag,repeated_failed_flag,failed_login_flag,previous_customer_transaction,days_since_previous,high_value_after_dormant_flag,fraud_risk_score,fraud_risk_level
T00026033,A000017,C00012,B013,2026-04-13 10:19:00,Debit,96728.3,INR,Mobile Banking,Transfer,Coimbatore,D00012-2,Success,20.0,12.0,Yes,1,0,0,0,1,2026-04-06 17:12:49,9666.183333333332,1,Coimbatore,1,0,0,0,2026-04-06 17:12:49,6.712627314814815,0,70,Critical
T00026034,A000017,C00012,B013,2026-04-13 10:31:00,Debit,32382.13,INR,Mobile Banking,Transfer,Coimbatore,D00012-3,Success,20.0,12.0,Yes,1,0,0,0,1,2026-04-13 10:19:00,12.0,1,Coimbatore,1,0,0,0,2026-04-13 10:19:00,0.008333333333333333,0,70,Critical
T00026035,A000017,C00012,B013,2026-04-13 10:43:00,Debit,63734.23,INR,Mobile Banking,Transfer,Coimbatore,D00012-4,Success,20.0,12.0,Yes,1,0,0,0,1,2026-04-13 10:31:00,12.0,1,Coimbatore,1,0,0,0,2026-04-13 10:31:00,0.008333333333333333,0,70,Critical
T00026036,A000017,C00012,B013,2026-04-13 10:55:00,Debit,39225.29,INR,Mobile Banking,Transfer,Coimbatore,D00012-5,Success,20.0,12.0,Yes,1,0,0,0,1,2026-04-13 10:43:00,12.0,1,Coimbatore,1,0,0,0,2026-04-13 10:43:00,0.008333333333333333,0,70,Critical
T00026097,A000018,C00013,B007,2026-04-08 08:23:00,Debit,21642.9,INR,Net Banking,Transfer,Madurai,D00013-1,Failed,0.0,10.0,No,1,0,0,1,2,2026-01-07 20:01:08,130341.86666666667,1,Madurai,0,0,1,1,2026-01-07 20:01:08,90.51518518518519,1,45,High
T00026098,A000018,C00013,B007,2026-04-08 08:26:00,Debit,63094.59,INR,Net Banking,Transfer,Madurai,D00013-1,Failed,0.0,10.0,No,1,1,0,1,3,2026-04-08 08:23:00,3.0,1,Madurai,0,0,1,1,2026-04-08 08:23:00,0.0020833333333333333,0,50,High
T00026099,A000018,C00013,B007,2026-04-08 08:29:00,Debit,47518.7,INR,Net Banking,Transfer,Madurai,D00013-1,Failed,0.0,10.0,No,1,1,0,1,3,2026-04-08 08:26:00,3.0,1,Madurai,0,0,1,1,2026-04-08 08:26:00,0.0020833333333333333,0,50,High
T00026100,A000018,C00013,B007,2026-04-08 08:32:00,Debit,52363.3,INR,Net Banking,Transfer,Madurai,D00013-1,Failed,0.0,10.0,Yes,1,1,0,1,3,2026-04-08 08:29:00,3.0,1,Madurai,0,0,1,1,2026-04-08 08:29:00,0.0020833333333333333,0,70,Critical
T00026101,A000018,C00013,B007,2026-04-08 08:35:00,Debit,76070.35,INR,Net Banking,Transfer,Madurai,D00013-1,Failed,0.0,10.0,Yes,1,1,0,1,3,2026-04-08 08:32:00,3.0,1,Madurai,0,0,1,1,2026-04-08 08:32:00,0.0020833333333333333,0,70,Critical
T00026154,A000021,C00015,B003,2025-07-23 01:41:00,Debit,35560.98,INR,Card,Electronics,Delhi,D00015-1,Success,25.0,15.0,Yes,1,0,0,0,1,2025-07-20 04:51:04,4129.933333333333,1,Delhi,0,0,0,0,2025-07-20 04:51:04,2.868009259259259,0,70,Critical
T00026155,A000021,C00015,B003,2025-07-23 01:43:00,Debit,63146.77,INR,Card,Electronics,Delhi,D00015-1,Success,25.0,15.0,Yes,1,1,0,0,2,2025-07-23 01:41:00,2.0,1,Delhi,0,0,0,0,2025-07-23 01:41:00,0.001388888888888889,0,70,Critical
T00026156,A000021,C00015,B003,2025-07-23 01:45:00,Debit,35504.87,INR,Card,Electronics,Delhi,D00015-1,Success,25.0,15.0,Yes,1,1,0,0,2,2025-07-23 01:43:00,2.0,1,Delhi,0,0,0,0,2025-07-23 01:43:00,0.001388888888888889,0,70,Critical
T00026157,A000021,C00015,B003,2025-07-23 01:47:00,Debit,37089.92,INR,Card,Electronics,Delhi,D00015-1,Success,25.0,15.0,Yes,1,1,0,0,2,2025-07-23 01:45:00,2.0,1,Delhi,0,0,0,0,2025-07-23 01:45:00,0.001388888888888889,0,70,Critical
T00026158,A000021,C00015,B003,2025-07-23 01:49:00,Debit,39745.81,INR,Card,Electronics,Delhi,D00015-1,Success,25.0,15.0,Yes,1,1,0,0,2,2025-07-23 01:47:00,2.0,1,Delhi,0,0,0,0,2025-07-23 01:47:00,0.001388888888888889,0,70,Critical
T00026159,A000021,C00015,B003,2025-07-23 01:51:00,Debit,43892.84,INR,Card,Electronics,Delhi,D00015-1,Success,25.0,15.0,Yes,1,1,0,0,2,2025-07-23 01:49:00,2.0,1,Delhi,0,0,0,0,2025-07-23 01:49:00,0.001388888888888889,0,70,Critical
T00026005,A000028,C00021,B012,2025-06-17 04:45:00,Debit,135094.44,INR,Card,Travel,Coimbatore,D00021-1,Success,30.0,18.0,Yes,1,0,0,0,1,2025-05-22 12:41:47,36963.21666666667,1,Mumbai,0,0,0,0,2025-05-22 12:41:47,25.668900462962963,0,70,Critical
T00026006,A000028,C00021,B012,2025-06-17 06:45:00,Debit,127015.45,INR,Card,Travel,Bengaluru,D00021-1,Success,30.0,18.0,Yes,1,0,1,0,2,2025-06-17 04:45:00,120.0,1,Coimbatore,0,0,0,0,2025-06-17 04:45:00,0.08333333333333333,0,70,Critical
T00026007,A000028,C00021,B012,2025-06-17 08:45:00,Debit,46302.35,INR,Card,Travel,Chennai,D00021-1,Success,30.0,18.0,Yes,1,0,1,0,2,2025-06-17 06:45:00,120.0,1,Bengaluru,0,0,0,0,2025-06-17 06:45:00,0.08333333333333333,0,70,Critical
T00017129,A000034,C00025,B014,2024-10-23 17:01:58,Debit,23090.76,INR,Net Banking,Fuel,Hyderabad,D00025-1,Success,14.7,15.67,No,1,0,0,0,1,2024-09-07 02:44:31,67097.45,1,Hyderabad,0,0,1,0,2024-09-07 02:44:31,46.59545138888889,1,40,High
T00000608,A000034,C00025,B014,2026-01-14 16:39:43,Debit,30752.84,INR,Mobile Banking,Travel,Hyderabad,D00025-1,Success,25.22,18.14,No,1,0,0,0,1,2025-12-13 05:53:29,46726.23333333333,1,Hyderabad,0,0,1,0,2025-12-13 05:53:29,32.44877314814815,1,40,High
T00026134,A000036,C00026,B024,2025-11-24 16:27:00,Debit,51420.67,INR,Card,Travel,Kochi,D00026-1,Success,30.0,18.0,Yes,1,0,0,0,1,2025-11-18 02:39:27,9467.55,1,Chennai,0,0,0,0,2025-11-18 02:39:27,6.5746875,0,70,Critical
T00026135,A000036,C00026,B024,2025-11-24 18:27:00,Debit,77597.14,INR,Card,Travel,Coimbatore,D00026-1,Success,30.0,18.0,Yes,1,0,1,0,2,2025-11-24 16:27:00,120.0,1,Kochi,0,0,0,0,2025-11-24 16:27:00,0.08333333333333333,0,70,Critical
T00026136,A000036,C00026,B024,2025-11-24 20:27:00,Debit,49553.67,INR,Card,Travel,Mumbai,D00026-1,Success,30.0,18.0,Yes,1,0,1,0,2,2025-11-24 18:27:00,120.0,1,Coimbatore,0,0,0,0,2025-11-24 18:27:00,0.08333333333333333,0,70,Critical
T00026038,A000047,C00033,B014,2026-07-07 00:32:00,Debit,73000.41,INR,Net Banking,Transfer,Pune,D00033-1,Failed,0.0,10.0,No,1,0,0,1,2,2026-05-12 12:02:45,79949.25,1,Pune,0,0,1,1,2026-05-12 12:02:45,55.5203125,1,45,High
T00026039,A000047,C00033,B014,2026-07-07 00:35:00,Debit,22999.38,INR,Net Banking,Transfer,Pune,D00033-1,Failed,0.0,10.0,No,1,1,0,1,3,2026-07-07 00:32:00,3.0,1,Pune,0,0,1,1,2026-07-07 00:32:00,0.0020833333333333333,0,50,High
T00026040,A000047,C00033,B014,2026-07-07 00:38:00,Debit,21735.83,INR,Net Banking,Transfer,Pune,D00033-1,Failed,0.0,10.0,No,1,1,0,1,3,2026-07-07 00:35:00,3.0,1,Pune,0,0,1,1,2026-07-07 00:35:00,0.0020833333333333333,0,50,High
T00026041,A000047,C00033,B014,2026-07-07 00:41:00,Debit,44900.68,INR,Net Banking,Transfer,Pune,D00033-1,Failed,0.0,10.0,Yes,1,1,0,1,3,2026-07-07 00:38:00,3.0,1,Pune,0,0,1,1,2026-07-07 00:38:00,0.0020833333333333333,0,70,Critical
T00026042,A000047,C00033,B014,2026-07-07 00:44:00,Debit,20762.41,INR,Net Banking,Transfer,Pune,D00033-1,Failed,0.0,10.0,Yes,1,1,0,1,3,2026-07-07 00:41:00,3.0,1,Pune,0,0,1,1,2026-07-07 00:41:00,0.0020833333333333333,0,70,Critical
T00011177,A000057,C00040,B012,2026-03-28 13:14:18,Debit,23290.33,INR,Mobile Banking,Transfer,Kolkata,D00040-1,Success,22.12,24.98,No,1,0,0,0,1,2026-02-07 15:49:05,70405.21666666666,1,Kolkata,0,0,1,0,2026-02-07 15:49:05,48.89251157407407,1,40,High
T00026126,A000069,C00045,B025,2026-05-06 05:32:00,Debit,41106.59,INR,Card,Travel,Chennai,D00045-1,Success,30.0,18.0,Yes,1,0,0,0,1,2026-04-04 08:09:23,45922.61666666667,1,Mumbai,0,0,0,1,2026-04-04 08:09:23,31.890706018518518,1,70,Critical
T00026127,A000069,C00045,B025,2026-05-06 07:32:00,Debit,83848.45,INR,Card,Travel,Hyderabad,D00045-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-05-06 05:32:00,120.0,1,Chennai,0,0,0,1,2026-05-06 05:32:00,0.08333333333333333,0,70,Critical
