transaction_id,account_id,customer_id,branch_id,transaction_datetime,transaction_type,transaction_amount,currency,channel,merchant_category,transaction_city,device_id,transaction_status,fee_amount,operational_cost,fraud_confirmed,high_value_flag,rapid_transaction_flag,location_change_flag,failed_transaction_flag,basic_fraud_flag_count,previous_transaction_time,minutes_since_previous,unusual_amount_flag,previous_city,multiple_device_flag,unusual_merchant_flag,repeated_failed_flag,failed_login_flag,previous_customer_transaction,days_since_previous,high_value_after_dormant_flag,fraud_risk_score,fraud_risk_level,predicted_fraud
T00026160,A000272,C00189,B005,2025-09-04 04:36:00,Debit,861300.8,INR,Branch,Transfer,Delhi,D00189-1,Success,50.0,25.0,Yes,1,0,0,0,1,2025-07-27 08:56:54,55899.1,1,Delhi,0,0,0,1,2025-07-27 08:56:54,38.81881944444444,1,70,Critical,Yes
T00026037,A000668,C00462,B002,2025-08-19 17:03:00,Debit,848531.34,INR,Branch,Transfer,Chennai,D00462-1,Success,50.0,25.0,Yes,1,0,0,0,1,2025-04-20 10:04:58,174658.03333333333,1,Chennai,0,0,0,0,2025-04-20 10:04:58,121.29030092592592,1,70,Critical,Yes
T00026106,A000452,C00316,B017,2026-02-02 23:26:00,Debit,750473.49,INR,Branch,Transfer,Coimbatore,D00316-1,Success,50.0,25.0,Yes,1,0,0,0,1,2026-01-25 16:26:37,11939.383333333333,1,Coimbatore,0,0,0,0,2026-01-25 16:26:37,8.291238425925926,0,70,Critical,Yes
T00026043,A000138,C00089,B024,2026-04-03 00:39:00,Debit,654353.63,INR,Branch,Transfer,Madurai,D00089-1,Success,50.0,25.0,Yes,1,0,0,0,1,2026-03-06 09:02:22,39816.63333333333,1,Madurai,0,0,0,1,2026-03-06 09:02:22,27.650439814814813,0,70,Critical,Yes
T00026071,A000561,C00394,B010,2026-02-02 10:50:00,Debit,587704.6,INR,Branch,Transfer,Kolkata,D00394-1,Success,50.0,25.0,Yes,1,0,0,0,1,2026-01-17 10:54:07,23035.883333333335,1,Kolkata,0,0,0,0,2026-01-17 10:54:07,15.997141203703704,0,70,Critical,Yes
T00026129,A000500,C00350,B024,2026-01-21 07:34:00,Debit,306315.93,INR,Branch,Transfer,Delhi,D00350-1,Success,50.0,25.0,Yes,1,0,0,0,1,2026-01-16 14:16:22,6797.633333333333,1,Delhi,1,0,0,1,2026-01-16 14:16:22,4.720578703703704,0,70,Critical,Yes
T00026008,A000273,C00190,B014,2026-05-25 22:24:00,Debit,148508.47,INR,Card,Travel,Hyderabad,D00190-1,Success,30.0,18.0,Yes,1,0,0,0,1,2026-05-10 22:09:50,21614.166666666668,1,Hyderabad,0,1,0,1,2026-05-10 22:09:50,15.009837962962964,0,70,Critical,Yes
T00026161,A000291,C00201,B010,2025-10-03 10:35:00,Debit,141566.85,INR,Card,Travel,Bengaluru,D00201-1,Success,30.0,18.0,Yes,1,0,0,0,1,2025-09-24 22:56:40,12218.333333333334,1,Kochi,0,0,0,1,2025-09-24 22:56:40,8.484953703703704,0,70,Critical,Yes
T00026141,A000925,C00645,B003,2025-10-16 03:11:00,Debit,140244.05,INR,Card,Travel,Madurai,D00645-1,Success,30.0,18.0,Yes,1,0,0,0,1,2025-08-09 03:46:15,97884.75,1,Delhi,0,0,0,1,2025-08-09 03:46:15,67.97552083333333,1,70,Critical,Yes
T00026142,A000925,C00645,B003,2025-10-16 05:11:00,Debit,139884.95,INR,Card,Travel,Chennai,D00645-1,Success,30.0,18.0,Yes,1,0,1,0,2,2025-10-16 03:11:00,120.0,1,Madurai,0,0,0,1,2025-10-16 03:11:00,0.08333333333333333,0,70,Critical,Yes
T00026169,A001226,C00854,B012,2026-04-08 08:25:00,Debit,137628.98,INR,Card,Travel,Kochi,D00854-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-04-08 06:25:00,120.0,1,Mumbai,0,0,0,1,2026-04-08 06:25:00,0.08333333333333333,0,70,Critical,Yes
T00026005,A000028,C00021,B012,2025-06-17 04:45:00,Debit,135094.44,INR,Card,Travel,Coimbatore,D00021-1,Success,30.0,18.0,Yes,1,0,0,0,1,2025-05-22 12:41:47,36963.21666666667,1,Mumbai,0,0,0,0,2025-05-22 12:41:47,25.668900462962963,0,70,Critical,Yes
T00026143,A000925,C00645,B003,2025-10-16 07:11:00,Debit,131690.43,INR,Card,Travel,Mumbai,D00645-1,Success,30.0,18.0,Yes,1,0,1,0,2,2025-10-16 05:11:00,120.0,1,Chennai,0,0,0,1,2025-10-16 05:11:00,0.08333333333333333,0,70,Critical,Yes
T00026009,A000273,C00190,B014,2026-05-26 00:24:00,Debit,127598.68,INR,Card,Travel,Madurai,D00190-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-05-25 22:24:00,120.0,1,Hyderabad,0,1,0,1,2026-05-25 22:24:00,0.08333333333333333,0,70,Critical,Yes
T00026006,A000028,C00021,B012,2025-06-17 06:45:00,Debit,127015.45,INR,Card,Travel,Bengaluru,D00021-1,Success,30.0,18.0,Yes,1,0,1,0,2,2025-06-17 04:45:00,120.0,1,Coimbatore,0,0,0,0,2025-06-17 04:45:00,0.08333333333333333,0,70,Critical,Yes
T00026073,A000239,C00164,B024,2026-02-08 17:39:00,Debit,123892.0,INR,Card,Travel,Delhi,D00164-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-02-08 15:39:00,120.0,1,Kolkata,0,0,0,1,2026-02-08 15:39:00,0.08333333333333333,0,70,Critical,Yes
T00026072,A000239,C00164,B024,2026-02-08 15:39:00,Debit,121623.53,INR,Card,Travel,Kolkata,D00164-1,Success,30.0,18.0,Yes,1,0,0,0,1,2026-02-07 21:37:34,1081.4333333333334,1,Coimbatore,0,0,0,1,2026-02-07 21:37:34,0.7509953703703703,0,70,Critical,Yes
T00026120,A000366,C00255,B011,2025-12-06 19:21:00,Debit,112378.14,INR,Card,Travel,Kochi,D00255-1,Success,30.0,18.0,Yes,1,0,1,0,2,2025-12-06 17:21:00,120.0,1,Hyderabad,0,0,0,1,2025-12-06 17:21:00,0.08333333333333333,0,70,Critical,Yes
T00026095,A001011,C00710,B012,2025-09-16 21:56:00,Debit,108473.88,INR,Mobile Banking,Transfer,Kochi,D00710-4,Success,20.0,12.0,Yes,1,0,0,0,1,2025-09-16 21:44:00,12.0,1,Kochi,1,0,0,0,2025-09-16 21:44:00,0.008333333333333333,0,70,Critical,Yes
T00026023,A000130,C00083,B004,2026-05-28 04:32:00,Debit,108440.0,INR,Mobile Banking,Transfer,Pune,D00083-4,Success,20.0,12.0,Yes,1,0,0,0,1,2026-05-28 04:20:00,12.0,1,Pune,1,0,1,1,2026-05-28 04:20:00,0.008333333333333333,0,70,Critical,Yes
