transaction_id,account_id,customer_id,branch_id,transaction_datetime,transaction_type,transaction_amount,currency,channel,merchant_category,transaction_city,device_id,transaction_status,fee_amount,operational_cost,fraud_confirmed,high_value_flag,rapid_transaction_flag,location_change_flag,failed_transaction_flag,basic_fraud_flag_count,unusual_amount_flag,multiple_device_flag,unusual_merchant_flag,repeated_failed_flag,failed_login_flag,high_value_after_dormant_flag,fraud_risk_score,fraud_risk_level,predicted_fraud
T00011796,A000001,C00001,B005,2024-03-01 03:51:16,Debit,14610.68,INR,Net Banking,E-Commerce,Pune,D00001-1,Success,12.84,10.16,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00020074,A000001,C00001,B005,2024-03-23 16:14:27,Credit,2098.87,INR,ATM,ATM,Pune,D00001-1,Success,9.44,10.08,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00009884,A000001,C00001,B005,2024-03-26 09:28:03,Debit,3695.27,INR,Card,Dining,Pune,D00001-1,Success,11.44,11.75,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00003349,A000001,C00001,B005,2024-03-27 10:46:46,Debit,2764.69,INR,UPI,Dining,Pune,D00001-1,Success,26.03,17.71,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00017836,A000001,C00001,B005,2024-04-12 06:45:49,Debit,392.37,INR,Card,Utilities,Pune,D00001-1,Success,7.62,21.73,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00004028,A000001,C00001,B005,2024-09-25 16:28:47,Debit,2073.06,INR,ATM,Electronics,Pune,D00001-1,Success,14.87,24.59,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00002643,A000001,C00001,B005,2024-10-20 19:13:42,Debit,1159.27,INR,ATM,Dining,Pune,D00001-1,Success,21.46,2.99,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00012796,A000001,C00001,B005,2025-01-08 22:17:53,Debit,2615.5,INR,UPI,Utilities,Pune,D00001-1,Success,30.03,25.84,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00022427,A000001,C00001,B005,2025-01-18 05:06:02,Credit,12975.13,INR,UPI,E-Commerce,Pune,D00001-1,Success,16.22,9.87,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00021150,A000001,C00001,B005,2025-02-03 00:45:18,Debit,10320.66,INR,ATM,Healthcare,Pune,D00001-1,Success,34.85,11.52,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00025217,A000001,C00001,B005,2025-02-06 23:51:24,Debit,1380.14,INR,Mobile Banking,Fuel,Pune,D00001-1,Success,1.98,17.18,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00021780,A000001,C00001,B005,2025-03-31 02:45:40,Debit,7896.16,INR,Mobile Banking,Grocery,Pune,D00001-1,Success,34.23,8.05,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00012405,A000001,C00001,B005,2025-08-25 22:56:38,Credit,573.32,INR,UPI,Electronics,Pune,D00001-1,Success,11.06,6.14,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00002305,A000001,C00001,B005,2025-11-20 15:33:02,Debit,17204.16,INR,UPI,Utilities,Pune,D00001-1,Failed,6.87,6.99,No,0,0,0,1,1,0,0,0,0,0,0,0,Low,No
T00003371,A000001,C00001,B005,2025-12-18 09:12:47,Debit,2044.04,INR,UPI,Fuel,Pune,D00001-1,Success,17.28,17.2,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00014525,A000001,C00001,B005,2026-06-12 19:42:36,Debit,5975.6,INR,Mobile Banking,Electronics,Pune,D00001-1,Success,28.04,13.09,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00004138,A000001,C00001,B005,2026-07-29 15:23:49,Credit,4167.88,INR,Card,Fuel,Pune,D00001-1,Success,5.89,14.12,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00015363,A000001,C00001,B005,2026-08-01 20:38:05,Debit,1923.51,INR,Net Banking,Electronics,Pune,D00001-1,Success,10.64,2.6,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00025679,A000001,C00001,B005,2026-08-15 03:48:35,Credit,4007.85,INR,Branch,ATM,Pune,D00001-1,Success,32.46,12.21,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00013733,A000002,C00002,B017,2024-01-12 03:49:12,Debit,3843.79,INR,Card,ATM,Kochi,D00002-1,Success,17.06,16.76,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00012389,A000002,C00002,B017,2024-02-15 08:25:04,Credit,1665.76,INR,UPI,Electronics,Kochi,D00002-1,Success,14.68,3.15,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00019481,A000003,C00002,B017,2024-03-01 17:33:09,Debit,14473.2,INR,Card,Transfer,Kochi,D00002-1,Success,24.58,9.76,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00022901,A000002,C00002,B017,2024-03-04 17:04:42,Debit,15829.87,INR,Card,Utilities,Kochi,D00002-1,Success,3.0,11.55,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00018982,A000003,C00002,B017,2024-05-15 12:05:41,Debit,460.49,INR,Branch,E-Commerce,Kochi,D00002-1,Success,19.34,5.13,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00007888,A000003,C00002,B017,2024-05-17 17:56:09,Debit,3224.17,INR,Mobile Banking,Electronics,Kochi,D00002-1,Success,19.7,29.06,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00019143,A000003,C00002,B017,2024-06-09 11:21:38,Credit,2430.1,INR,Net Banking,Fuel,Kochi,D00002-1,Success,3.29,21.45,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00001741,A000002,C00002,B017,2024-09-24 14:16:47,Credit,9290.51,INR,UPI,E-Commerce,Kochi,D00002-1,Success,27.74,8.67,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00001661,A000002,C00002,B017,2024-10-12 06:25:40,Credit,15627.15,INR,UPI,Travel,Kochi,D00002-1,Success,21.14,27.14,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00001428,A000002,C00002,B017,2024-10-14 12:26:26,Credit,3340.89,INR,UPI,Utilities,Kochi,D00002-1,Success,25.71,25.28,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00020769,A000003,C00002,B017,2024-10-26 23:19:42,Debit,3954.7,INR,Mobile Banking,Fuel,Kochi,D00002-1,Success,3.59,18.52,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
T00023327,A000002,C00002,B017,2024-11-30 17:00:15,Debit,4937.31,INR,Mobile Banking,Fuel,Kochi,D00002-1,Success,24.71,14.06,No,0,0,0,0,0,0,0,0,0,0,0,0,Low,No
