branch_id,branch_name,total_loans,total_loan_value,outstanding_balance,defaulted_loans,average_credit_score,average_risk_score,critical_loans,default_rate_pct
B001,Chennai Branch 1,30,17640573.68,8005710.92,4,705.9,37.0,4,13.333333333333334
B002,Bengaluru Branch 1,22,17197381.75,5106030.91,5,686.0454545454545,46.36363636363637,6,22.727272727272727
B003,Mumbai Branch 1,27,16067046.74,6289500.4,4,680.8888888888889,42.77777777777778,5,14.814814814814813
B004,Delhi Branch 1,22,17061691.63,5073682.93,6,695.7727272727273,41.59090909090909,6,27.27272727272727
B005,Hyderabad Branch 1,25,21699121.0,5808428.34,4,704.92,39.4,4,16.0
B006,Pune Branch 1,26,18945543.83,11399513.98,8,713.1923076923077,44.61538461538461,9,30.76923076923077
B007,Kolkata Branch 1,23,13690673.86,5684836.43,3,698.304347826087,40.43478260869565,3,13.043478260869565
B008,Madurai Branch 1,28,23558923.48,9034388.36,8,662.2142857142857,49.464285714285715,9,28.57142857142857
B009,Coimbatore Branch 1,15,10488041.11,4013390.23,3,680.8,45.666666666666664,3,20.0
B010,Kochi Branch 1,31,20352905.36,8856611.61,5,708.7096774193549,39.83870967741935,5,16.129032258064516
B011,Chennai Branch 2,29,18401408.07,8306979.260000001,4,704.8965517241379,37.758620689655174,4,13.793103448275861
B012,Bengaluru Branch 2,29,26752500.35,10797006.73,4,670.0689655172414,41.206896551724135,4,13.793103448275861
B013,Mumbai Branch 2,23,11582286.41,4977892.16,9,697.8695652173913,48.91304347826087,9,39.130434782608695
B014,Delhi Branch 2,36,23212250.080000002,11309086.81,9,700.0,43.611111111111114,9,25.0
B015,Hyderabad Branch 2,31,26184069.080000002,10675096.19,6,715.258064516129,40.483870967741936,6,19.35483870967742
B016,Pune Branch 2,26,13193133.36,5852292.57,7,696.0769230769231,43.07692307692308,7,26.923076923076923
B017,Kolkata Branch 2,24,18050874.68,8735381.02,4,692.2916666666666,42.291666666666664,6,16.666666666666664
B018,Madurai Branch 2,24,16978991.650000002,7142001.7700000005,8,695.0416666666666,48.333333333333336,9,33.33333333333333
B019,Coimbatore Branch 2,23,18397293.01,7642329.96,5,688.7826086956521,43.04347826086956,5,21.73913043478261
B020,Kochi Branch 2,29,21455218.66,7193569.43,7,717.551724137931,41.03448275862069,7,24.137931034482758
B021,Chennai Branch 3,20,14294868.44,8060505.91,4,706.0526315789474,43.5,4,20.0
B022,Bengaluru Branch 3,22,14915819.12,4612738.93,5,664.1363636363636,49.54545454545455,7,22.727272727272727
B023,Mumbai Branch 3,24,14229027.27,5369294.9799999995,7,686.375,46.875,7,29.166666666666668
B024,Delhi Branch 3,28,14650329.1,6963701.3,6,682.8571428571429,46.785714285714285,6,21.428571428571427
B025,Hyderabad Branch 3,29,27110974.62,11564504.56,5,699.8620689655172,40.0,5,17.24137931034483
