account_id,customer_id,account_type,branch_id,open_date,current_balance,currency,account_status,last_activity_date,account_tier,monthly_service_cost
A000001,C00001,Savings,B005,2024-01-19,23366.27,INR,Active,2026-01-04,Gold,110.17
A000002,C00002,Savings,B017,2020-10-10,78803.42,INR,Dormant,2025-08-04,Silver,43.44
A000003,C00002,Savings,B017,2023-04-23,37698.18,INR,Dormant,2024-09-20,Platinum,96.32
A000004,C00003,Salary,B022,2026-03-22,114694.73,INR,Active,2026-04-30,Platinum,158.47
A000005,C00003,Savings,B022,2020-11-23,57462.08,INR,Active,2026-06-10,Gold,117.38
A000006,C00004,Savings,B017,2021-03-17,118173.87,INR,Dormant,2024-12-31,Silver,138.62
A000007,C00004,Savings,B017,2020-01-02,410319.75,INR,Dormant,2025-02-12,Classic,175.27
A000008,C00005,Savings,B001,2023-12-13,319384.04,INR,Dormant,2024-09-07,Silver,56.53
A000009,C00006,Savings,B025,2025-10-31,93764.1,INR,Active,2026-03-16,Classic,164.98
A000010,C00006,Savings,B025,2022-05-25,13455.98,INR,Dormant,2024-03-03,Classic,105.91
A000011,C00007,Savings,B025,2026-02-09,47146.11,INR,Active,2026-02-27,Silver,35.98
A000012,C00007,Current,B025,2025-09-16,23910.43,INR,Active,2026-05-23,Platinum,144.38
A000013,C00008,Salary,B011,2025-11-21,68324.76,INR,Active,2026-07-12,Gold,101.17
A000014,C00009,Salary,B018,2022-05-12,46924.48,INR,Dormant,2024-09-27,Gold,120.15
A000015,C00010,Current,B002,2026-03-06,87806.64,INR,Active,2026-07-08,Platinum,127.68
A000016,C00011,Salary,B009,2022-11-03,168823.47,INR,Active,2025-10-15,Silver,54.11
A000017,C00012,Savings,B013,2024-12-12,35312.24,INR,Active,2026-04-09,Silver,71.8
A000018,C00013,Savings,B007,2020-12-04,128547.28,INR,Active,2026-05-22,Platinum,124.56
A000019,C00014,Salary,B006,2023-12-16,60843.6,INR,Dormant,2024-08-22,Silver,69.0
A000020,C00014,Current,B006,2023-12-16,134311.6,INR,Dormant,2025-04-05,Platinum,28.85
A000021,C00015,Current,B003,2024-12-11,14560.3,INR,Active,2026-03-23,Gold,23.79
A000022,C00016,Savings,B003,2026-06-07,643735.22,INR,Active,2026-08-17,Platinum,157.02
A000023,C00017,Savings,B023,2024-02-04,173933.87,USD,Active,2026-02-13,Classic,145.0
A000024,C00018,Salary,B020,2024-06-17,113925.91,INR,Dormant,2025-02-27,Gold,64.17
A000025,C00019,Salary,B002,2021-02-07,160318.59,INR,Dormant,2025-04-28,Platinum,151.89
A000026,C00020,Current,B005,2025-10-01,102667.65,INR,Active,2026-01-11,Gold,109.07
A000027,C00020,Salary,B005,2025-10-01,140261.4,INR,Active,2025-12-11,Gold,173.15
A000028,C00021,Salary,B012,2021-05-29,40861.08,INR,Dormant,2024-07-07,Gold,60.86
A000029,C00022,Savings,B022,2022-08-14,60119.1,INR,Active,2025-10-19,Classic,166.08
A000030,C00022,Savings,B022,2022-08-14,16836.81,INR,Dormant,2025-08-02,Platinum,65.22
A000031,C00023,Savings,B008,2020-07-21,95135.81,INR,Dormant,2025-08-01,Classic,111.83
A000032,C00024,Current,B018,2025-08-15,190171.26,INR,Active,2025-09-21,Platinum,162.3
A000033,C00025,Savings,B014,2022-09-15,107664.96,INR,Dormant,2024-03-15,Platinum,162.3
A000034,C00025,Savings,B014,2022-04-18,59380.53,INR,Dormant,2024-01-07,Gold,105.18
