credit_score_id,customer_id,credit_score,score_date,past_due_accounts,credit_utilization_pct,hard_inquiries_12m,credit_history_years
CS00001,C00001,764,2025-01-03,0,44.3,4,1
CS00002,C00002,776,2025-01-18,1,22.3,2,11
CS00003,C00003,731,2025-08-20,1,64.5,8,11
CS00004,C00004,498,2026-02-21,0,86.2,7,7
CS00005,C00005,678,2025-07-28,0,41.3,3,0
CS00006,C00006,666,2025-05-25,0,48.7,4,6
CS00007,C00007,700,2025-03-22,0,9.2,8,12
CS00008,C00008,828,2026-07-05,0,43.2,1,7
CS00009,C00009,621,2025-03-01,0,72.9,1,2
CS00010,C00010,606,2026-07-22,1,62.9,8,1
CS00011,C00011,644,2025-07-02,1,67.7,1,9
CS00012,C00012,727,2025-08-14,0,63.3,1,8
CS00013,C00013,786,2025-02-26,0,80.7,1,4
CS00014,C00014,677,2026-01-30,0,43.7,2,4
CS00015,C00015,709,2026-01-14,0,8.4,3,12
CS00016,C00016,643,2025-02-23,1,40.3,1,2
CS00017,C00017,743,2026-04-29,0,47.4,1,4
CS00018,C00018,662,2026-02-16,0,42.2,5,10
CS00019,C00019,652,2025-02-25,0,50.1,0,3
CS00020,C00020,673,2025-03-02,0,20.9,7,7
CS00021,C00021,582,2025-04-13,0,84.6,6,5
CS00022,C00022,637,2026-07-17,0,94.1,5,7
CS00023,C00023,568,2026-03-19,1,67.6,5,4
CS00024,C00024,810,2025-05-03,0,6.0,2,9
CS00025,C00025,653,2025-10-01,0,31.7,4,10
CS00026,C00026,711,2025-03-26,1,19.0,1,0
CS00027,C00027,702,2026-01-27,0,52.5,1,0
CS00028,C00028,713,2025-03-02,1,11.9,8,10
CS00029,C00029,758,2025-05-18,1,37.9,8,2
CS00030,C00030,660,2026-03-04,1,1,2,10
CS00031,C00031,789,2025-12-31,0,51.4,6,9
CS00032,C00032,659,2026-08-06,0,1,0,8
CS00033,C00033,717,2026-08-10,0,43.7,0,0
CS00034,C00034,598,2025-12-20,0,60.9,5,7
CS00035,C00035,713,2026-04-12,0,46.5,2,0
CS00036,C00036,731,2025-02-17,1,28.4,4,8
CS00037,C00037,649,2025-05-12,1,64.7,7,1
CS00038,C00038,786,2025-05-29,0,30.1,5,2
CS00039,C00039,787,2025-12-06,0,25.4,0,11
CS00040,C00040,612,2025-05-31,2,42.4,6,0
CS00041,C00041,691,2026-07-20,0,66.3,2,4
CS00042,C00042,740,2025-01-14,0,43.3,4,7
CS00043,C00043,684,2026-02-13,2,26.3,5,0
CS00044,C00044,590,2026-08-17,2,70.3,8,11
CS00045,C00045,623,2026-02-06,0,78.6,0,1
CS00046,C00046,671,2026-02-03,0,65.3,6,12
CS00047,C00047,742,2026-05-19,0,1,7,11
CS00048,C00048,658,2026-01-26,0,57.8,3,1
CS00049,C00049,711,2025-02-23,1,26.8,2,9
CS00050,C00050,697,2025-01-24,2,1,3,8
CS00051,C00051,583,2026-05-09,2,72.0,7,1
CS00052,C00052,653,2026-08-15,0,26.7,0,3
CS00053,C00053,633,2025-09-20,2,78.6,5,11
CS00054,C00054,615,2025-09-09,0,48.7,4,4
CS00055,C00055,778,2025-05-05,0,33.0,0,5
CS00056,C00056,806,2025-08-27,0,43.8,3,9
CS00057,C00057,663,2026-02-23,0,9.6,5,11
CS00058,C00058,706,2025-08-15,1,55.7,7,0
CS00059,C00059,729,2026-06-07,0,36.1,8,11
CS00060,C00060,609,2026-02-28,1,51.1,2,9
CS00061,C00061,739,2026-07-02,0,16.1,2,8
CS00062,C00062,567,2025-06-18,0,27.1,1,8
CS00063,C00063,697,2025-08-03,0,72.2,8,5
CS00064,C00064,732,2026-03-14,0,31.7,6,7
CS00065,C00065,763,2026-05-30,0,78.6,4,5
CS00066,C00066,705,2026-07-19,0,82.6,4,9
CS00067,C00067,633,2025-12-09,1,72.9,3,1
CS00068,C00068,725,2026-05-05,0,49.9,5,9
CS00069,C00069,572,2026-05-16,0,60.7,4,1
CS00070,C00070,801,2025-03-07,0,20.6,8,6
CS00071,C00071,604,2025-06-10,0,50.7,1,11
CS00072,C00072,716,2025-05-01,0,10.8,6,4
CS00073,C00073,660,2026-02-21,0,25.3,5,12
CS00074,C00074,736,2026-03-23,0,43.1,6,7
CS00075,C00075,612,2025-01-09,0,69.9,3,5
CS00076,C00076,683,2026-06-01,0,29.2,1,6
CS00077,C00077,728,2025-03-29,0,35.9,7,10
CS00078,C00078,672,2025-06-08,0,47.9,2,8
CS00079,C00079,681,2025-08-09,1,26.0,2,7
CS00080,C00080,782,2026-01-26,0,38.0,8,12
CS00081,C00081,678,2025-02-20,1,66.2,8,0
CS00082,C00082,640,2025-10-09,1,65.6,4,8
CS00083,C00083,819,2025-12-08,0,48.3,3,5
CS00084,C00084,637,2026-06-24,0,96.3,7,1
CS00085,C00085,749,2025-10-07,0,32.2,3,9
CS00086,C00086,694,2025-06-07,0,31.7,6,7
CS00087,C00087,809,2026-02-17,0,28.4,2,0
CS00088,C00088,663,2025-12-07,0,17.0,4,9
CS00089,C00089,689,2025-06-06,0,26.8,5,6
CS00090,C00090,555,2026-04-01,0,24.1,2,12
CS00091,C00091,583,2025-06-24,0,99,5,5
CS00092,C00092,664,2025-08-11,0,22.5,7,7
CS00093,C00093,649,2025-05-23,1,74.0,2,6
CS00094,C00094,727,2025-09-24,0,59.1,6,7
CS00095,C00095,654,2026-02-09,0,58.1,0,7
CS00096,C00096,682,2025-12-18,1,50.5,1,9
CS00097,C00097,619,2026-01-19,0,57.9,4,4
CS00098,C00098,727,2025-04-09,0,11.4,2,5
CS00099,C00099,721,2025-10-10,0,26.8,3,8
CS00100,C00100,657,2025-12-11,0,17.5,7,7
CS00101,C00101,633,2025-11-23,1,60.7,0,5
CS00102,C00102,689,2025-11-30,0,58.4,3,10
CS00103,C00103,725,2026-03-19,0,9.4,1,5
CS00104,C00104,662,2026-02-25,0,24.4,2,11
CS00105,C00105,771,2025-02-25,0,1,3,4
CS00106,C00106,725,2025-04-26,0,49.0,7,7
CS00107,C00107,691,2025-02-18,0,69.0,4,7
CS00108,C00108,789,2026-04-11,1,11.2,4,3
CS00109,C00109,629,2025-09-26,0,57.9,2,5
CS00110,C00110,614,2026-01-10,0,69.2,6,4
CS00111,C00111,732,2026-05-15,0,28.5,5,10
CS00112,C00112,759,2026-01-19,0,40.1,5,2
CS00113,C00113,717,2026-01-11,0,51.3,0,12
CS00114,C00114,698,2026-08-20,0,1.6,7,11
CS00115,C00115,579,2026-01-06,0,72.3,6,6
CS00116,C00116,673,2025-02-15,1,66.9,8,12
CS00117,C00117,776,2025-05-01,0,38.1,3,3
CS00118,C00118,620,2025-11-06,0,70.2,7,1
CS00119,C00119,677,2026-04-01,1,29.6,7,10
CS00120,C00120,674,2026-08-28,0,37.2,3,4
CS00121,C00121,743,2025-11-24,0,1,8,11
CS00122,C00122,642,2025-08-10,0,65.1,6,0
CS00123,C00123,699,2026-02-02,0,40.8,5,9
CS00124,C00124,711,2025-02-01,0,30.7,1,7
CS00125,C00125,694,2026-04-17,0,11.7,0,7
CS00126,C00126,642,2026-07-11,0,75.0,8,5
CS00127,C00127,674,2025-06-09,0,59.8,3,10
CS00128,C00128,766,2026-07-17,0,1,6,7
CS00129,C00129,641,2025-07-22,1,70.2,3,5
CS00130,C00130,599,2025-12-31,0,41.9,0,7
CS00131,C00131,763,2026-07-01,0,21.1,1,3
CS00132,C00132,668,2025-08-25,0,3.3,3,9
CS00133,C00133,743,2025-02-18,0,3.5,4,2
CS00134,C00134,590,2026-05-20,0,28.2,3,6
CS00135,C00135,597,2025-08-19,1,53.9,6,7
CS00136,C00136,799,2025-03-06,0,30.7,0,3
CS00137,C00137,647,2025-01-12,0,44.5,3,12
CS00138,C00138,552,2026-01-08,1,45.9,5,8
CS00139,C00139,731,2025-01-26,0,1,5,2
CS00140,C00140,673,2026-03-02,0,64.0,4,11
CS00141,C00141,728,2026-06-03,0,49.4,6,9
CS00142,C00142,627,2025-04-17,1,69.9,2,3
CS00143,C00143,703,2025-09-28,0,27.4,2,12
CS00144,C00144,660,2026-01-22,0,39.3,7,12
CS00145,C00145,650,2025-05-31,0,53.1,4,6
CS00146,C00146,612,2025-11-23,0,69.2,4,6
CS00147,C00147,802,2025-07-05,0,11.5,4,4
CS00148,C00148,773,2025-03-20,0,40.2,8,10
CS00149,C00149,778,2025-12-17,0,50.2,7,3
CS00150,C00150,720,2026-06-08,1,29.2,2,0
CS00151,C00151,721,2026-07-07,1,54.5,7,11
CS00152,C00152,759,2026-03-16,0,32.4,8,12
CS00153,C00153,792,2025-03-24,0,33.3,2,0
CS00154,C00154,812,2025-03-18,0,56.8,3,3
CS00155,C00155,607,2025-04-10,2,79.9,8,3
CS00156,C00156,731,2026-02-03,0,35.1,7,12
CS00157,C00157,635,2026-05-10,1,87.5,6,10
CS00158,C00158,716,2026-05-10,0,53.9,3,12
CS00159,C00159,642,2026-01-18,1,83.8,7,11
CS00160,C00160,714,2025-03-09,0,26.3,1,7
CS00161,C00161,718,2026-06-21,0,45.2,0,10
CS00162,C00162,636,2025-11-03,1,75.8,3,0
CS00163,C00163,702,2025-06-15,1,23.5,5,12
CS00164,C00164,718,2026-02-15,0,54.1,4,1
CS00165,C00165,674,2025-02-07,0,17.7,3,9
CS00166,C00166,831,2025-01-21,0,60.9,0,9
CS00167,C00167,665,2025-01-16,0,36.2,1,11
CS00168,C00168,725,2026-04-07,0,26.6,1,11
CS00169,C00169,755,2025-04-13,0,56.7,2,9
CS00170,C00170,898,2026-02-05,0,35.6,4,2
CS00171,C00171,769,2025-09-10,0,47.4,6,11
CS00172,C00172,704,2025-05-22,0,18.9,2,6
CS00173,C00173,702,2025-04-26,0,9.0,0,8
CS00174,C00174,752,2026-06-07,0,43.8,8,0
CS00175,C00175,766,2025-08-26,1,53.0,8,3
CS00176,C00176,894,2026-05-31,0,24.6,1,0
CS00177,C00177,631,2025-12-01,1,77.2,5,4
CS00178,C00178,616,2026-01-22,0,51.1,5,1
CS00179,C00179,733,2025-03-25,0,21.9,1,2
CS00180,C00180,833,2026-07-11,0,42.7,5,5
CS00181,C00181,591,2026-05-09,0,62.4,3,5
CS00182,C00182,680,2026-04-10,1,59.3,1,7
CS00183,C00183,708,2025-12-20,0,18.3,0,9
CS00184,C00184,730,2025-11-07,0,41.2,6,0
CS00185,C00185,596,2025-09-17,2,52.4,8,9
CS00186,C00186,670,2025-11-25,0,54.0,8,4
CS00187,C00187,752,2026-02-18,0,1,6,0
CS00188,C00188,726,2025-01-10,0,43.3,5,10
CS00189,C00189,773,2026-04-11,0,23.1,3,1
CS00190,C00190,594,2026-04-29,1,59.6,3,2
CS00191,C00191,668,2026-04-08,1,19.9,7,4
CS00192,C00192,785,2025-12-15,0,35.3,8,4
CS00193,C00193,806,2026-08-24,0,22.9,7,11
CS00194,C00194,822,2025-08-11,0,16.3,5,6
CS00195,C00195,744,2025-10-24,0,38.1,5,9
CS00196,C00196,713,2025-11-03,0,17.4,1,1
CS00197,C00197,749,2026-08-13,0,19.8,7,5
CS00198,C00198,703,2025-10-24,0,20.2,5,7
CS00199,C00199,747,2026-04-12,1,45.3,3,4
CS00200,C00200,746,2026-06-04,0,71.7,0,12
CS00201,C00201,690,2026-06-04,0,33.7,8,5
CS00202,C00202,796,2026-03-03,1,36.4,2,10
CS00203,C00203,685,2025-08-12,0,1,8,7
CS00204,C00204,691,2025-02-04,0,9.7,7,7
CS00205,C00205,632,2025-02-11,1,65.5,6,2
CS00206,C00206,630,2026-01-21,1,84.9,2,11
CS00207,C00207,771,2025-03-13,0,31.3,7,12
CS00208,C00208,661,2025-09-02,0,34.3,8,9
CS00209,C00209,644,2025-02-03,1,25.8,2,4
CS00210,C00210,791,2025-07-26,0,45.1,3,0
CS00211,C00211,697,2026-08-27,0,47.4,6,0
CS00212,C00212,657,2026-02-15,0,1,6,9
CS00213,C00213,752,2025-08-21,0,34.5,5,10
CS00214,C00214,688,2025-05-14,0,53.0,6,5
CS00215,C00215,714,2025-04-03,0,45.8,7,11
CS00216,C00216,759,2025-02-19,1,38.6,4,4
CS00217,C00217,555,2025-12-11,0,60.2,5,3
CS00218,C00218,777,2025-04-20,1,50.8,8,12
CS00219,C00219,733,2025-12-25,0,73.0,8,12
CS00220,C00220,659,2025-01-07,0,78.6,6,12
CS00221,C00221,868,2026-01-09,0,32.8,8,6
CS00222,C00222,708,2026-07-18,0,26.4,8,6
CS00223,C00223,727,2025-08-23,0,27.3,2,1
CS00224,C00224,517,2025-09-13,2,39.0,0,1
CS00225,C00225,612,2025-11-30,0,21.8,3,9
CS00226,C00226,633,2026-08-14,0,45.9,7,9
CS00227,C00227,613,2026-06-16,0,31.3,1,4
CS00228,C00228,692,2025-06-11,0,13.1,6,2
CS00229,C00229,653,2026-08-15,0,23.1,6,0
CS00230,C00230,715,2025-08-29,0,45.8,8,8
CS00231,C00231,698,2025-11-28,0,39.6,8,7
CS00232,C00232,695,2025-11-16,0,41.2,0,2
CS00233,C00233,639,2025-01-04,0,97.7,5,4
CS00234,C00234,747,2026-01-11,0,32.8,4,8
CS00235,C00235,653,2025-03-11,0,70.4,6,6
CS00236,C00236,734,2025-05-15,0,23.8,0,12
CS00237,C00237,736,2026-08-08,0,21.3,0,3
CS00238,C00238,717,2026-02-12,1,42.6,5,4
CS00239,C00239,679,2025-07-13,0,42.0,5,8
CS00240,C00240,766,2026-05-21,0,45.3,8,3
CS00241,C00241,597,2025-01-11,1,36.3,4,5
CS00242,C00242,742,2026-04-02,0,33.6,2,6
CS00243,C00243,667,2026-06-29,0,19.6,7,0
CS00244,C00244,769,2025-04-08,0,56.6,6,7
CS00245,C00245,592,2026-05-10,0,62.9,2,5
CS00246,C00246,665,2025-03-17,0,32.6,8,2
CS00247,C00247,595,2025-05-10,0,67.1,7,0
CS00248,C00248,793,2025-10-03,0,19.0,7,9
CS00249,C00249,668,2025-04-16,0,9.2,5,5
CS00250,C00250,836,2025-05-08,1,51.2,7,1
CS00251,C00251,674,2025-01-20,0,51.6,7,4
CS00252,C00252,636,2025-04-24,3,63.5,2,4
CS00253,C00253,618,2025-09-01,0,55.8,2,5
CS00254,C00254,679,2025-03-23,0,32.6,1,2
CS00255,C00255,659,2026-04-27,1,33.2,6,11
CS00256,C00256,646,2026-04-18,0,69.7,4,4
CS00257,C00257,703,2025-12-17,0,51.0,7,8
CS00258,C00258,654,2026-05-23,1,76.9,6,5
CS00259,C00259,621,2026-02-20,1,65.6,3,8
CS00260,C00260,563,2025-02-14,1,43.6,0,12
CS00261,C00261,719,2026-07-01,0,19.5,2,4
CS00262,C00262,620,2026-04-28,0,55.8,0,10
CS00263,C00263,700,2025-10-21,0,41.6,5,7
CS00264,C00264,688,2025-08-22,0,36.3,2,6
CS00265,C00265,614,2025-05-22,1,74.9,2,0
CS00266,C00266,732,2025-08-15,0,47.7,0,9
CS00267,C00267,699,2025-10-02,0,57.5,0,1
CS00268,C00268,632,2025-12-07,1,75.7,1,12
CS00269,C00269,554,2026-02-10,1,62.5,7,5
CS00270,C00270,718,2026-03-08,0,21.2,0,10
CS00271,C00271,767,2025-08-17,0,38.3,8,11
CS00272,C00272,743,2025-10-07,0,39.9,2,9
CS00273,C00273,635,2025-11-27,0,44.7,7,12
CS00274,C00274,621,2026-05-04,1,57.9,5,3
CS00275,C00275,706,2025-06-22,0,50.5,2,11
CS00276,C00276,799,2025-11-05,0,41.8,6,5
CS00277,C00277,824,2025-05-27,0,32.5,0,11
CS00278,C00278,689,2025-02-26,0,49.3,6,1
CS00279,C00279,764,2025-11-05,0,48.0,3,11
CS00280,C00280,749,2025-11-29,0,59.0,0,11
CS00281,C00281,731,2025-09-12,0,52.7,2,11
CS00282,C00282,764,2025-03-04,0,15.6,5,12
CS00283,C00283,811,2025-08-19,0,23.9,3,10
CS00284,C00284,643,2026-08-12,0,67.1,5,3
CS00285,C00285,674,2025-07-07,0,42.0,2,8
CS00286,C00286,586,2026-04-26,0,60.5,7,3
CS00287,C00287,688,2026-06-08,1,45.4,0,7
CS00288,C00288,723,2025-08-27,0,48.4,3,0
CS00289,C00289,700,2025-11-14,0,44.1,4,12
CS00290,C00290,737,2026-05-03,0,33.5,8,5
CS00291,C00291,737,2025-06-11,1,47.3,0,5
CS00292,C00292,717,2025-03-16,0,40.5,2,5
CS00293,C00293,693,2025-04-02,0,23.8,8,7
CS00294,C00294,746,2025-02-25,0,1,4,10
CS00295,C00295,709,2025-06-05,0,50.0,4,5
