payment_id,loan_id,customer_id,due_date,payment_date,payment_amount,days_late,payment_status
LP0000001,L00001,C00636,2022-09-28,2022-09-30,18624.03,2,Paid
LP0000002,L00001,C00636,2022-10-28,2022-11-02,18469.86,5,Paid
LP0000003,L00001,C00636,2022-11-28,2022-12-01,18282.83,3,Paid
LP0000004,L00001,C00636,2022-12-28,2022-12-30,17902.05,2,Paid
LP0000005,L00001,C00636,2023-01-28,2023-02-01,18531.58,4,Paid
LP0000006,L00001,C00636,2023-02-28,2023-03-08,18709.88,8,Late
LP0000007,L00001,C00636,2023-03-28,2023-04-01,18490.62,4,Paid
LP0000008,L00001,C00636,2023-04-28,2023-05-03,18506.11,5,Paid
LP0000009,L00001,C00636,2023-05-28,2023-05-30,18274.28,2,Paid
LP0000010,L00001,C00636,2023-06-28,2023-07-07,18009.19,9,Late
LP0000011,L00001,C00636,2023-07-28,2023-07-31,18092.48,3,Paid
LP0000012,L00001,C00636,2023-08-28,2023-09-01,18667.56,4,Paid
LP0000013,L00002,C00481,2022-02-28,2022-03-05,28101.02,5,Paid
LP0000014,L00002,C00481,2022-03-28,2022-04-07,27993.75,10,Late
LP0000015,L00002,C00481,2022-04-28,2022-04-29,28680.12,1,Paid
LP0000016,L00002,C00481,2022-05-28,2022-06-03,27994.55,6,Late
LP0000017,L00002,C00481,2022-06-28,2022-07-06,28464.42,8,Late
LP0000018,L00002,C00481,2022-07-28,2022-07-31,27432.46,3,Paid
LP0000019,L00002,C00481,2022-08-28,2022-09-06,28450.7,9,Late
LP0000020,L00002,C00481,2022-09-28,,0,94,Missed
LP0000021,L00002,C00481,2022-10-28,2022-12-23,19713.69,56,Partial
LP0000022,L00002,C00481,2022-11-28,,0,75,Missed
LP0000023,L00002,C00481,2022-12-28,2023-02-26,16156.36,60,Partial
LP0000024,L00002,C00481,2023-01-28,2023-02-20,16803.96,23,Partial
LP0000025,L00003,C00107,2025-03-28,2025-03-30,31790.23,2,Paid
LP0000026,L00003,C00107,2025-04-28,2025-04-28,31089.06,0,Paid
LP0000027,L00003,C00107,2025-05-28,2025-05-30,32063.4,2,Paid
LP0000028,L00003,C00107,2025-06-28,2025-07-06,31921.85,8,Late
LP0000029,L00003,C00107,2025-07-28,2025-08-03,30683.42,6,Late
LP0000030,L00003,C00107,2025-08-28,2025-08-30,30979.67,2,Paid
LP0000031,L00003,C00107,2025-09-28,2025-10-01,31458.53,3,Paid
LP0000032,L00003,C00107,2025-10-28,2025-11-06,30887.84,9,Late
LP0000033,L00003,C00107,2025-11-28,2025-12-03,31123.15,5,Paid
LP0000034,L00003,C00107,2025-12-28,2026-01-02,31224.2,5,Paid
LP0000035,L00003,C00107,2026-01-28,2026-01-29,31149.27,1,Paid
LP0000036,L00003,C00107,2026-02-28,2026-02-28,31492.78,0,Paid
LP0000037,L00003,C00107,2026-03-28,2026-04-05,30581.41,8,Late
LP0000038,L00003,C00107,2026-04-28,2026-05-01,30791.09,3,Paid
LP0000039,L00003,C00107,2026-05-28,2026-05-28,31175.6,0,Paid
LP0000040,L00003,C00107,2026-06-28,2026-07-03,30714.48,5,Paid
LP0000041,L00003,C00107,2026-07-28,2026-08-01,31777.86,4,Paid
LP0000042,L00003,C00107,2026-08-28,2026-09-07,31401.67,10,Late
LP0000043,L00004,C00681,2023-11-28,2023-12-06,25717.83,8,Late
LP0000044,L00004,C00681,2023-12-28,2024-01-06,25741.44,9,Late
LP0000045,L00004,C00681,2024-01-28,2024-02-05,25093.39,8,Late
LP0000046,L00004,C00681,2024-02-28,2024-03-01,24924.26,2,Paid
LP0000047,L00004,C00681,2024-03-28,2024-04-06,25490.91,9,Late
LP0000048,L00004,C00681,2024-04-28,2024-05-04,25845.41,6,Late
LP0000049,L00004,C00681,2024-05-28,2024-05-30,25471.48,2,Paid
LP0000050,L00004,C00681,2024-06-28,2024-07-07,25539.76,9,Late
LP0000051,L00004,C00681,2024-07-28,2024-07-30,26367.01,2,Paid
LP0000052,L00004,C00681,2024-08-28,2024-09-03,25961.1,6,Late
LP0000053,L00004,C00681,2024-09-28,2024-09-30,25270.53,2,Paid
LP0000054,L00004,C00681,2024-10-28,2024-11-05,25264.31,8,Late
LP0000055,L00004,C00681,2024-11-28,2024-11-30,25624.82,2,Paid
LP0000056,L00004,C00681,2024-12-28,2024-12-31,26296.01,3,Paid
LP0000057,L00004,C00681,2025-01-28,2025-01-29,25720.95,1,Paid
LP0000058,L00004,C00681,2025-02-28,2025-03-09,26039.95,9,Late
LP0000059,L00004,C00681,2025-03-28,2025-04-02,26387.62,5,Paid
LP0000060,L00004,C00681,2025-04-28,2025-05-08,26425.93,10,Late
LP0000061,L00004,C00681,2025-05-28,2025-06-05,26165.73,8,Late
LP0000062,L00004,C00681,2025-06-28,2025-06-28,25148.86,0,Paid
LP0000063,L00004,C00681,2025-07-28,2025-07-30,26277.9,2,Paid
LP0000064,L00004,C00681,2025-08-28,2025-08-28,25036.32,0,Paid
LP0000065,L00004,C00681,2025-09-28,2025-10-05,25666.59,7,Late
LP0000066,L00004,C00681,2025-10-28,2025-11-07,26399.8,10,Late
LP0000067,L00005,C00865,2022-12-28,2023-01-03,71884.7,6,Late
LP0000068,L00005,C00865,2023-01-28,2023-02-01,72912.07,4,Paid
LP0000069,L00005,C00865,2023-02-28,2023-02-28,71900.47,0,Paid
LP0000070,L00005,C00865,2023-03-28,2023-04-03,74225.17,6,Late
LP0000071,L00005,C00865,2023-04-28,2023-05-07,72574.22,9,Late
LP0000072,L00005,C00865,2023-05-28,2023-06-04,72296.09,7,Late
LP0000073,L00005,C00865,2023-06-28,2023-07-03,74253.42,5,Paid
LP0000074,L00005,C00865,2023-07-28,2023-08-01,71732.68,4,Paid
LP0000075,L00005,C00865,2023-08-28,2023-09-07,72554.86,10,Late
LP0000076,L00005,C00865,2023-09-28,2023-10-01,74052.01,3,Paid
LP0000077,L00005,C00865,2023-10-28,2023-10-28,74588.83,0,Paid
LP0000078,L00005,C00865,2023-11-28,2023-11-30,75501.01,2,Paid
LP0000079,L00006,C00771,2024-10-28,2024-10-29,51047.05,1,Paid
LP0000080,L00006,C00771,2024-11-28,2024-12-04,51080.08,6,Late
LP0000081,L00006,C00771,2024-12-28,2025-01-03,51465.64,6,Late
