loan_id,customer_id,branch_id,loan_type,loan_start_date,loan_amount,interest_rate_pct,term_months,emi_amount,outstanding_balance,loan_status,default_status,days_past_due
L00001,C00636,B025,Home,2022-09-16,189594.98,16.44,12,18397.03,157595.27,Active,No,18
L00002,C00481,B002,Education,2022-02-04,297903.3,13.76,12,28241.23,112612.87,Defaulted,Yes,72
L00003,C00107,B014,Education,2025-03-11,779953.63,14.58,36,31141.82,692301.19,Active,No,3
L00004,C00681,B024,Education,2023-11-30,970548.62,11.74,60,25671.01,236746.2,Active,No,10
L00005,C00865,B015,Education,2022-12-12,775837.01,13.71,12,73517.02,503713.9,Active,No,0
L00006,C00771,B004,Home,2024-10-02,920450.34,15.27,24,50064.83,403486.3,Active,No,2
L00007,C00662,B012,Home,2025-07-09,563407.17,17.12,84,14745.17,493049.81,Active,No,20
L00008,C00373,B023,Business,2023-11-20,82235.29,14.15,36,3254.0,35571.18,Active,No,19
L00009,C00371,B018,Personal,2023-01-19,866319.05,15.44,48,29194.95,0,Closed,No,6
L00010,C00937,B002,Education,2024-09-17,284761.41,19.44,84,8003.15,170399.11,Active,No,19
L00011,C00699,B016,Personal,2025-04-03,827588.28,16.55,84,21266.06,400470.08,Defaulted,Yes,36
L00012,C00455,B010,Education,2023-11-07,440184.61,14.87,36,17681.97,98949.88,Active,No,18
L00013,C00633,B019,Personal,2024-02-25,1549842.57,10.94,60,39960.11,0,Closed,No,7
L00014,C00201,B010,Business,2025-03-25,160093.78,15.01,60,4670.74,0,Closed,No,11
L00015,C00161,B025,Business,2026-04-11,119180.75,13.15,36,4616.6,26728.39,Active,No,11
L00016,C00787,B015,Personal,2022-04-10,260785.39,12.14,36,9882.32,182231.08,Active,No,7
L00017,C00898,B020,Personal,2025-04-18,352851.72,14.78,48,11697.03,53616.23,Defaulted,Yes,115
L00018,C00501,B002,Personal,2022-12-14,305201.18,12.81,60,8344.71,0,Closed,No,6
L00019,C00479,B021,Personal,2024-11-30,1837723.36,13.43,48,58853.09,1411996.11,Active,No,13
L00020,C00008,B011,Personal,2026-02-22,899386.34,12.95,24,47180.31,503658.96,Active,No,2
L00021,C00122,B016,Auto,2024-06-09,183515.69,17.18,48,6450.58,134396.72,Active,No,13
L00022,C00119,B012,Business,2025-08-20,454962.78,14.16,48,14846.95,317281.58,Defaulted,Yes,51
L00023,C00698,B010,Business,2024-06-24,1559562.59,15.83,24,85555.0,880570.42,Active,No,17
L00024,C00344,B021,Business,2025-06-02,1466176.09,14.59,36,58553.37,675227.3,Defaulted,Yes,87
L00025,C00316,B017,Home,2025-06-02,138357.32,18.15,48,4975.1,0,Closed,No,19
L00026,C00695,B014,Education,2024-06-14,674796.41,15.16,36,27269.27,207019.01,Active,No,8
L00027,C00634,B022,Personal,2026-04-04,117661.94,17.48,60,3674.97,0,Closed,No,12
L00028,C00099,B013,Business,2024-05-06,553134.48,14.74,48,18317.97,480065.17,Defaulted,Yes,114
L00029,C00854,B012,Home,2023-05-13,1745649.37,16.27,24,96403.49,1044156.59,Defaulted,Yes,47
L00030,C00478,B015,Education,2023-04-17,232265.27,15.13,24,12606.2,44731.27,Active,No,12
L00031,C00693,B008,Business,2025-12-18,132225.16,14.72,36,5294.88,72876.49,Active,No,1
L00032,C00512,B010,Auto,2025-11-06,557444.72,12.63,48,17480.54,379103.6,Active,No,20
L00033,C00211,B010,Personal,2025-02-24,847702.41,14.96,48,28228.49,366249.3,Defaulted,Yes,38
L00034,C00641,B001,Education,2025-08-27,233325.12,16.34,48,8038.05,210578.56,Active,No,8
L00035,C00828,B003,Personal,2024-08-14,356173.82,15.67,24,19491.61,126188.13,Active,No,13
L00036,C00188,B014,Personal,2022-12-30,657864.87,13.6,36,25729.83,178110.62,Defaulted,Yes,117
L00037,C00748,B009,Auto,2022-07-24,1945035.02,13.18,84,44518.15,680078.07,Defaulted,Yes,40
L00038,C00857,B005,Personal,2025-09-08,154298.95,11.88,84,3364.45,69319.26,Active,No,3
L00039,C00871,B017,Personal,2023-10-17,266855.77,12.14,60,7147.29,0,Closed,No,8
L00040,C00424,B025,Business,2025-02-26,349492.93,17.32,84,9204.98,303791.22,Active,No,13
L00041,C00005,B001,Personal,2025-11-17,262340.01,15.52,60,7765.26,82838.0,Active,No,17
L00042,C00837,B007,Business,2024-11-01,120093.83,13.17,84,2747.72,0,Closed,No,15
L00043,C00601,B022,Business,2022-06-16,81526.41,16.1,60,2452.59,70939.75,Active,No,20
