,credit_score,annual_income,loan_amount,interest_rate_pct,outstanding_balance,days_past_due,repayment_rate_pct,late_payment_rate_pct,loan_risk_score,default_flag
credit_score,1.0,0.15017221863734512,-0.06160062793874257,-0.9077975961510235,-0.05415039650683076,-0.15650151374359905,0.07629388156157703,-0.0016238162129341798,-0.49663683375191586,-0.12355249527555798
annual_income,0.15017221863734512,1.0,-0.019645030866487806,-0.10633463096035844,0.0036604730223548025,-0.041850334073570444,0.047152388840039444,0.029050622810306813,-0.08533579417490861,-0.05003297214730433
loan_amount,-0.06160062793874257,-0.019645030866487806,1.0,0.047226509611753675,0.660317697506413,0.003194906239270661,0.017113435990569432,-0.030286560181927255,0.009541671051731936,0.0016622359466339702
interest_rate_pct,-0.9077975961510235,-0.10633463096035844,0.047226509611753675,1.0,0.07263677654059211,0.11286670346322747,-0.05137576836644488,0.005886635363347738,0.46276877521618337,0.09016476853200257
outstanding_balance,-0.05415039650683076,0.0036604730223548025,0.660317697506413,0.07263677654059211,1.0,0.09904700356321772,-0.0459104637403761,-0.011322929736343157,0.09971480227653541,0.11519791920685794
days_past_due,-0.15650151374359905,-0.041850334073570444,0.003194906239270661,0.11286670346322747,0.09904700356321772,1.0,-0.417582479627253,0.15665588514707773,0.7493244204275729,0.8963002144618868
repayment_rate_pct,0.07629388156157703,0.047152388840039444,0.017113435990569432,-0.05137576836644488,-0.0459104637403761,-0.417582479627253,1.0,-0.3528710485358646,-0.44848311796991264,-0.4809768148830697
late_payment_rate_pct,-0.0016238162129341798,0.029050622810306813,-0.030286560181927255,0.005886635363347738,-0.011322929736343157,0.15665588514707773,-0.3528710485358646,1.0,0.12360747690564398,0.13413427875576386
loan_risk_score,-0.49663683375191586,-0.08533579417490861,0.009541671051731936,0.46276877521618337,0.09971480227653541,0.7493244204275729,-0.44848311796991264,0.12360747690564398,1.0,0.8296025795259873
default_flag,-0.12355249527555798,-0.05003297214730433,0.0016622359466339702,0.09016476853200257,0.11519791920685794,0.8963002144618868,-0.4809768148830697,0.13413427875576386,0.8296025795259873,1.0
